,BA_conferred
1870,9371.0
1880,12896.0
1890,15539.0
1900,27410.0
1910,37199.0
1920,48622.0
1930,122484.0
1940,186500.0
1950,432058.0
1960,392440.0
1970,792316.0
1980,929417.0
1981,935140.0
1982,952998.0
1983,969510.0
1984,974309.0
1985,979477.0
1986,987823.0
1987,991264.0
1988,994829.0
1989,1018755.0
1990,1051344.0
1991,1094538.0
1992,1136553.0
1993,1165178.0
1994,1169275.0
1995,1160134.0
1996,1164792.0
1997,1172879.0
1998,1184406.0
1999,1202239.0
2000,1237875.0
2001,1244171.0
2002,1291900.0
2003,1348811.0
2004,1399760.0
2005,1439848.0
2006,1485104.0
2007,1524729.0
2008,1563734.0
2009,1601399.0
2010,1649919.0
2011,1716053.0
2012,1792163.0
2013,1840381.0
2014,1870150.0
2015,1894969.0
2016,1920750.0
2017,1956114.0
2018,1980665.0
2019,2013086.0
2020,2038682.0
2021,2066463.0
2022,2015035.0
