test,expo_var,d_member,n,spearman,rule,n_preflip,routine_gap_sd,d_gap_z_withinR
A,dv_rating_alpha,D_doc,105.0,0.15299325618565876,,,,
A,dv_rating_alpha,D_comp,105.0,-0.08335147576101823,,,,
A,dv_rating_alpha,D_struct,105.0,0.014866882321815645,,,,
A,dv_rating_beta,D_doc,106.0,0.14285966200582195,,,,
A,dv_rating_beta,D_comp,106.0,0.08384304562898424,,,,
A,dv_rating_beta,D_struct,106.0,0.05378606008769524,,,,
A,dv_rating_gamma,D_doc,106.0,0.22642859304689397,,,,
A,dv_rating_gamma,D_comp,106.0,0.08566714117287529,,,,
A,dv_rating_gamma,D_struct,106.0,-0.017871538592893994,,,,
A,human_rating_alpha,D_doc,104.0,0.2205732514939158,,,,
A,human_rating_alpha,D_comp,104.0,0.0002507261724171466,,,,
A,human_rating_alpha,D_struct,104.0,-0.022005868262842343,,,,
A,human_rating_beta,D_doc,106.0,0.18034335522194356,,,,
A,human_rating_beta,D_comp,106.0,0.04238724907726033,,,,
A,human_rating_beta,D_struct,106.0,0.017987197372941244,,,,
A,human_rating_gamma,D_doc,106.0,0.1906611649457192,,,,
A,human_rating_gamma,D_comp,106.0,0.027075707696127334,,,,
A,human_rating_gamma,D_struct,106.0,-0.016798170063184677,,,,
B,,D_doc,,,d30,120.0,0.5999485746995336,-0.6226810362150068
B,,D_comp,,,d30,120.0,0.5999485746995336,-0.3905849690785892
B,,D_struct,,,d30,120.0,0.5999485746995336,0.6076782358899767
B,,D_doc,,,d40,94.0,0.5622393654615739,-0.6117058685630213
B,,D_comp,,,d40,94.0,0.5622393654615739,-0.42844317759034584
B,,D_struct,,,d40,94.0,0.5622393654615739,0.6097984729271116
B,,D_doc,,,d50,72.0,0.46045379183039853,-0.6213724732417543
B,,D_comp,,,d50,72.0,0.46045379183039853,-0.428426272725173
B,,D_struct,,,d50,72.0,0.46045379183039853,0.6932354362437482
B08,,D_doc08,,,d30,120.0,0.5999485746995336,-0.5886950388849518
B08,,D_comp08,,,d30,120.0,0.5999485746995336,-0.290053023885329
B08,,D_doc08,,,d40,94.0,0.5622393654615739,-0.5233305875937552
B08,,D_comp08,,,d40,94.0,0.5622393654615739,-0.339132035776991
B08,,D_doc08,,,d50,72.0,0.46045379183039853,-0.5825628156732248
B08,,D_comp08,,,d50,72.0,0.46045379183039853,-0.35806927705468033
