year,med_BA,med_HS,n_BA,n_HS,ratio_raw,educ_regime,ratio_fixedwt
1979,346.0,246.0,24633.0,43939.0,1.4065040650406504,gradeat,1.3893565863423056
1980,375.0,260.0,29891.0,51331.0,1.4423076923076923,gradeat,1.3943646245322279
1981,400.0,280.0,28790.0,48981.0,1.4285714285714286,gradeat,1.4028720238520929
1982,438.0,300.0,28291.0,46140.0,1.46,gradeat,1.429422598404041
1983,450.0,306.0,28971.0,45735.0,1.4705882352941178,gradeat,1.4754206165014554
1984,495.0,320.0,30139.0,47259.0,1.546875,gradeat,1.4794166093184182
1985,500.0,330.0,31608.0,48560.0,1.5151515151515151,gradeat,1.521715033389334
1986,521.0,342.0,32004.0,48526.0,1.523391812865497,gradeat,1.532507196840946
1987,558.0,350.0,32686.0,49046.0,1.5942857142857143,gradeat,1.5949296553843793
1988,581.0,360.0,31856.0,47622.0,1.613888888888889,gradeat,1.5816868071590198
1989,600.0,375.0,33029.0,48808.0,1.6,gradeat,1.616372763158886
1990,640.0,387.0,35579.0,51042.0,1.6537467700258397,gradeat,1.6585776103873724
1991,664.0,400.0,35399.0,49357.0,1.66,gradeat,1.6479713614296234
1992,700.0,400.0,34958.0,44758.0,1.75,grade92,1.6863250010371202
1993,700.0,410.0,35034.0,43478.0,1.7073170731707317,grade92,1.728522899195901
1994,731.0,423.0,33510.0,39232.0,1.7281323877068557,grade92,1.7236207646720623
1995,755.0,438.0,34420.0,38507.0,1.7237442922374429,grade92,1.7122359596968284
1996,769.0,444.0,30469.0,33793.0,1.731981981981982,grade92,1.7085167866683482
1997,784.0,461.0,31721.0,34507.0,1.700650759219089,grade92,1.6982432043243632
1998,807.0,480.0,32673.0,34485.0,1.68125,grade92,1.7232566799234768
1999,865.0,490.0,33749.0,34563.0,1.7653061224489797,grade92,1.7502076274578515
2000,903.0,500.0,34408.0,34702.0,1.806,grade92,1.79534352987178
2001,925.0,520.0,36987.0,36304.0,1.7788461538461537,grade92,1.7767250745532994
2002,961.0,540.0,40932.0,38743.0,1.7796296296296297,grade92,1.7624362062047791
2003,961.53,559.4,40411.0,37595.0,1.7188594923131928,grade92,1.778793045273239
2004,1000.0,576.0,40163.0,36310.0,1.7361111111111112,grade92,1.767223735793796
2005,1000.0,576.92,40818.0,36148.0,1.733342577827082,grade92,1.795281729022538
2006,1040.0,600.0,41200.0,35907.0,1.7333333333333334,grade92,1.805900071278755
2007,1068.0,600.0,42379.0,35155.0,1.78,grade92,1.7805084579257096
2008,1115.38,615.38,42884.0,34238.0,1.8125060937957036,grade92,1.8115365095208096
2009,1153.0,634.0,42313.0,31849.0,1.8186119873817035,grade92,1.82261662462645
2010,1153.84,634.0,42983.0,31289.0,1.81993690851735,grade92,1.8561840607938387
2011,1153.84,640.0,43299.0,30522.0,1.8028749999999998,grade92,1.8391092860481362
2012,1153.84,658.8,44186.0,29933.0,1.7514268366727384,grade92,1.8599230725791118
2013,1192.3,653.84,45071.0,29419.0,1.8235348097393855,grade92,1.8833470513337214
2014,1200.0,673.07,45556.0,29902.0,1.7828754810049474,grade92,1.8609918625968263
2015,1230.76,680.0,45765.0,28991.0,1.8099411764705882,grade92,1.869507587074965
2016,1250.0,692.3,46400.0,28935.0,1.8055756175068614,grade92,1.887069692673458
2017,1288.46,720.0,46782.0,28628.0,1.7895277777777778,grade92,1.8679531665162554
2018,1312.0,735.0,46773.0,27724.0,1.7850340136054421,grade92,1.848756681254839
2019,1349.5,750.0,45782.0,26826.0,1.7993333333333332,grade92,1.8773899461649786
2020,1423.07,798.0,42436.0,22442.0,1.7832957393483708,grade92,1.8727771857111972
2021,1442.3,800.0,42440.0,22434.0,1.802875,grade92,1.8479002623810132
2022,1538.46,864.0,41458.0,22123.0,1.7806250000000001,grade92,1.8499346056473962
2023,1615.38,900.0,40393.0,21296.0,1.7948666666666668,grade92,1.8437265551443487
2024,1690.0,942.0,40777.0,20934.0,1.7940552016985138,grade92,1.8374259874058747
