,pct_BAplus_25plus
1940,4.6
1947,5.4
1950,6.2
1952,7.0
1957,7.6
1959,8.1
1962,8.9
1964,9.1
1965,9.4
1966,9.8
1967,10.1
1968,10.5
1969,10.7
1970,11.0
1971,11.4
1972,12.0
1973,12.6
1974,13.3
1975,13.9
1976,14.7
1977,15.4
1978,15.7
1979,16.4
1980,17.0
1981,17.1
1982,17.7
1983,18.8
1984,19.1
1985,19.4
1986,19.4
1987,19.9
1988,20.3
1989,21.1
1990,21.3
1991,21.4
1992,21.4
1993,21.9
1994,22.2
1995,23.0
1996,23.6
1997,23.9
1998,24.4
1999,25.2
2000,25.6
2001,26.2
2002,26.7
2003,27.2
2004,27.7
2005,27.7
2006,28.0
2007,28.7
2008,29.4
2009,29.5
2010,29.9
2011,30.4
2012,30.9
2013,31.7
2014,32.0
2015,32.5
2016,33.4
2017,34.2
2018,35.0
2019,36.0
2020,37.5
2021,37.9
2022,37.7
2023,38.3
2024,38.7
