date,model,value,source,frontier
2023-02-24,LLaMA-13B,99.36,eci,99.36
2023-02-24,LLaMA-33B,106.4,eci,106.4
2023-02-24,LLaMA-65B,109.24,eci,109.24
2023-02-24,LLaMA-7B,95.37,eci,109.24
2023-03-14,gpt-4-0314,125.7,eci,125.7
2023-03-14,gpt-4-32k-0314,125.7,eci,125.7
2023-03-15,falcon-40b,103.35,eci,125.7
2023-03-20,Cerebras-GPT-13B,81.55,eci,125.7
2023-04-11,dolly-v2-12b,88.14,eci,125.7
2023-04-24,falcon-7b,93.72,eci,125.7
2023-05-05,mpt-7b,93.2,eci,125.7
2023-05-25,falcon-40b-instruct,103.35,eci,125.7
2023-06-01,Baichuan-7B,88.93,eci,125.7
2023-06-13,gpt-3.5-turbo-0613,112.51,eci,125.7
2023-06-13,gpt-4-0613,121.48,eci,125.7
2023-06-22,mpt-30b,99.44,eci,125.7
2023-06-22,mpt-30b-instruct,99.44,eci,125.7
2023-06-27,xgen-7b-8k-base,91.98,eci,125.7
2023-07-11,claude-2.0,119.14,eci,125.7
2023-07-18,Llama-2-13b,105.12,eci,125.7
2023-07-18,Llama-2-13b-chat,105.12,eci,125.7
2023-07-18,Llama-2-34b,104.13,eci,125.7
2023-07-18,Llama-2-70b-chat,113.13,eci,125.7
2023-07-18,Llama-2-70b-chat-hf,113.13,eci,125.7
2023-07-18,Llama-2-70b-hf ,113.13,eci,125.7
2023-07-18,Llama-2-7b,97.8,eci,125.7
2023-07-20,StableBeluga2,116.39,eci,125.7
2023-08-09,claude-instant-1.2,120.71,eci,125.7
2023-09-06,Baichuan-2-13B-Base,102.06,eci,125.7
2023-09-06,falcon-180B,111.28,eci,125.7
2023-09-11,phi-1_5,90.09,eci,125.7
2023-09-20,Baichuan-2-7B-Base,94.98,eci,125.7
2023-09-24,Qwen-14B-Chat,112.18,eci,125.7
2023-09-27,Mistral-7B-Instruct-v0.1,111.34,eci,125.7
2023-09-27,Mistral-7B-v0.1,111.34,eci,125.7
2023-09-28,Qwen-14B,112.18,eci,125.7
2023-09-28,Qwen-7B,105.78,eci,125.7
2023-11-02,Yi-34B,116.64,eci,125.7
2023-11-02,Yi-6B,103.68,eci,125.7
2023-11-02,deepseek-coder-1.3b-base,62.01,eci,125.7
2023-11-02,deepseek-coder-33b-base,94.97,eci,125.7
2023-11-02,deepseek-coder-6.7b-base,88.09,eci,125.7
2023-11-06,gpt-3.5-turbo-1106,117.81,eci,125.7
2023-11-06,gpt-4-1106-preview,125.83,eci,125.83
2023-11-06,gpt-4-turbo,125.83,eci,125.83
2023-11-21,claude-2.1,117.91,eci,125.83
2023-11-22,Yi-34B-Chat,116.64,eci,125.83
2023-11-22,Yi-6B-Chat,103.68,eci,125.83
2023-12-11,Mixtral-8x7B-Instruct-v0.1,117.65,eci,125.83
2023-12-11,Mixtral-8x7B-v0.1,117.65,eci,125.83
2023-12-11,open-mixtral-8x7b,117.65,eci,125.83
2023-12-12,phi-2,106.91,eci,125.83
2023-12-13,gemini-1.0-pro-001,116.52,eci,125.83
2024-01-25,gpt-3.5-turbo-0125,113.87,eci,125.83
2024-01-25,gpt-4-0125-preview,125.83,eci,125.83
2024-02-20,starcoder2-15b,103.91,eci,125.83
2024-02-20,starcoder2-7b,92.13,eci,125.83
2024-02-21,gemma-2b,92.8,eci,125.83
2024-02-21,gemma-7b,111.11,eci,125.83
2024-02-22,starcoder2-3b,87.22,eci,125.83
2024-02-26,Nemotron-4 15B,106.72,eci,125.83
2024-02-26,mistral-large-2402,120.62,eci,125.83
2024-02-29,claude-3-opus-20240229,126.65,eci,126.65
2024-02-29,claude-3-sonnet-20240229,119.47,eci,126.65
2024-03-07,claude-3-haiku-20240307,117.16,eci,126.65
2024-04-09,gpt-4-turbo-2024-04-09,127.27,eci,127.27
2024-04-17,Mixtral-8x22B-Instruct-v0.1,120.88,eci,127.27
2024-04-17,Mixtral-8x22B-v0.1,120.88,eci,127.27
2024-04-17,open-mixtral-8x22b,120.88,eci,127.27
2024-04-18,Meta-Llama-3-70B,122.23,eci,127.27
2024-04-18,Meta-Llama-3-70B-Instruct,122.23,eci,127.27
2024-04-18,Meta-Llama-3-8B,115.91,eci,127.27
2024-04-18,Meta-Llama-3-8B-Instruct,115.91,eci,127.27
2024-04-23,Phi-3-medium-128k-instruct,120.65,eci,127.27
2024-04-23,Phi-3-mini-4k-instruct,116.63,eci,127.27
2024-04-23,Phi-3-small-8k-instruct,121.24,eci,127.27
2024-05-07,DeepSeek-V2,124.26,eci,127.27
2024-05-09,falcon-11b,108.6,eci,127.27
2024-05-13,gpt-4o-2024-05-13,128.57,eci,128.57
2024-05-14,gemini-1.5-flash-0514,122.17,eci,128.57
2024-05-14,gemini-1.5-pro-001,126.91,eci,128.57
2024-05-23,gemini-1.5-flash-001,122.17,eci,128.57
2024-06-07,qwen2-72b-instruct,124.93,eci,128.57
2024-06-20,claude-3-5-sonnet-20240620,130.0,eci,130.0
2024-06-24,gemma-2-27b-it,122.09,eci,130.0
2024-06-24,gemma-2-9b-it,119.14,eci,130.0
2024-07-18,Mistral-Nemo-Base-2407,117.91,eci,130.0
2024-07-18,Mistral-Nemo-Instruct-2407,117.91,eci,130.0
2024-07-18,gpt-4o-mini-2024-07-18,126.64,eci,130.0
2024-07-18,open-mistral-nemo-2407,117.91,eci,130.0
2024-07-23,Llama-3.1-405B,128.73,eci,130.0
2024-07-23,Llama-3.1-405B-Instruct,128.73,eci,130.0
2024-07-23,Llama-3.1-70B-Instruct,125.2,eci,130.0
2024-07-23,Llama-3.1-8B-Instruct,114.92,eci,130.0
2024-07-24,mistral-large-2407,127.24,eci,130.0
2024-08-06,gpt-4o-2024-08-06,128.75,eci,130.0
2024-09-12,o1-mini-2024-09-12_high,136.45,eci,136.45
2024-09-12,o1-mini-2024-09-12_medium,136.45,eci,136.45
2024-09-12,o1-mini-2024-09-12_unknown,136.45,eci,136.45
2024-09-12,o1-preview-2024-09-12,135.66,eci,136.45
2024-09-17,Qwen2.5-Coder-7B-Instruct,112.29,eci,136.45
2024-09-18,Qwen2.5-Coder-1.5B,101.84,eci,136.45
2024-09-18,Qwen2.5-Coder-32B,118.82,eci,136.45
2024-09-18,Qwen2.5-Coder-7B,112.29,eci,136.45
2024-09-19,Qwen2.5-72B,128.76,eci,136.45
2024-09-19,Qwen2.5-VL-72B-Instruct,128.76,eci,136.45
2024-09-19,qwen2.5-72b-instruct,128.76,eci,136.45
2024-09-24,Llama-3.2-90B-Vision-Instruct,125.38,eci,136.45
2024-09-24,gemini-1.5-flash-002,130.16,eci,136.45
2024-09-24,gemini-1.5-pro-002,132.51,eci,136.45
2024-10-22,claude-3-5-haiku-20241022,127.2,eci,136.45
2024-10-22,claude-3-5-sonnet-20241022,134.23,eci,136.45
2024-11-18,mistral-large-2411,128.54,eci,136.45
2024-11-20,gpt-4o-2024-11-20,129.06,eci,136.45
2024-11-29,INTELLECT-1-Instruct,99.65,eci,136.45
2024-12-03,amazon.nova-pro-v1:0,123.55,eci,136.45
2024-12-06,Llama-3.3-70B-Instruct,127.2,eci,136.45
2024-12-06,gemini-exp-1206,134.95,eci,136.45
2024-12-11,gemini-2.0-flash-exp,134.95,eci,136.45
2024-12-12,grok-2-1212,130.56,eci,136.45
2024-12-12,phi-4,130.84,eci,136.45
2024-12-17,o1-2024-12-17_high,142.45,eci,142.45
2024-12-17,o1-2024-12-17_low,142.45,eci,142.45
2024-12-17,o1-2024-12-17_medium,142.45,eci,142.45
2024-12-17,o1-2024-12-17_unknown,142.45,eci,142.45
2024-12-26,DeepSeek-V3,132.87,eci,142.45
2024-12-26,DeepSeek-V3-Base,132.87,eci,142.45
2025-01-20,DeepSeek-R1,139.51,eci,142.45
2025-01-21,gemini-2.0-flash-thinking-exp-01-21,136.06,eci,142.45
2025-01-25,qwen-max-2025-01-25,133.21,eci,142.45
2025-01-28,qwen2.5-max,133.21,eci,142.45
2025-01-31,o3-mini-2025-01-31_high,141.31,eci,142.45
2025-01-31,o3-mini-2025-01-31_low,141.31,eci,142.45
2025-01-31,o3-mini-2025-01-31_medium,141.31,eci,142.45
2025-01-31,o3-mini-2025-01-31_unknown,141.31,eci,142.45
2025-02-05,gemini-2.0-flash-001,135.61,eci,142.45
2025-02-05,gemini-2.0-flash-02-05,135.61,eci,142.45
2025-02-05,gemini-2.0-pro-exp-02-05,135.43,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_12K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_15K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_16K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_1K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_2K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_32K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_64K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_8K,141.61,eci,142.45
2025-02-24,claude-3-7-sonnet-20250219_unknown,141.61,eci,142.45
2025-02-27,gpt-4.5-preview-2025-02-27,137.42,eci,142.45
2025-03-11,chutes/Gemma-3-27b-It,130.83,eci,142.45
2025-03-12,gemma-3-27b-it,130.83,eci,142.45
2025-03-17,mistral-small-2503,127.46,eci,142.45
2025-03-24,DeepSeek-V3-0324,136.86,eci,142.45
2025-03-24,chutes/DeepSeek-V3-0324,136.86,eci,142.45
2025-03-25,gemini-2.5-pro-exp-03-25,144.53,eci,144.53
2025-03-31,gemini-2.5-pro-preview-03-25,144.53,eci,144.53
2025-04-05,Llama-4-Maverick-17B-128E-Instruct,132.84,eci,144.53
2025-04-05,Llama-4-Maverick-17B-128E-Instruct-FP8,132.84,eci,144.53
2025-04-05,Llama-4-Scout-17B-16E-Instruct,130.32,eci,144.53
2025-04-06,chutes/Llama-4-Maverick-17B-128E-Instruct,132.84,eci,144.53
2025-04-06,chutes/Llama-4-Scout-17B-16E Instruct,130.32,eci,144.53
2025-04-09,grok-3,138.88,eci,144.53
2025-04-09,grok-3-beta,138.88,eci,144.53
2025-04-09,grok-3-mini-beta_high,140.87,eci,144.53
2025-04-09,grok-3-mini-beta_low,140.87,eci,144.53
2025-04-09,grok-3-mini-beta_medium,140.87,eci,144.53
2025-04-14,gpt-4.1-2025-04-14,137.32,eci,144.53
2025-04-14,gpt-4.1-mini-2025-04-14,135.62,eci,144.53
2025-04-14,gpt-4.1-nano-2025-04-14,130.65,eci,144.53
2025-04-16,o3-2025-04-16_high,146.9,eci,146.9
2025-04-16,o3-2025-04-16_low,146.9,eci,146.9
2025-04-16,o3-2025-04-16_medium,146.9,eci,146.9
2025-04-16,o3-2025-04-16_unknown,146.9,eci,146.9
2025-04-16,o4-mini-2025-04-16_high,146.31,eci,146.9
2025-04-16,o4-mini-2025-04-16_low,146.31,eci,146.9
2025-04-16,o4-mini-2025-04-16_medium,146.31,eci,146.9
2025-04-16,o4-mini-2025-04-16_unknown,146.31,eci,146.9
2025-04-17,gemini-2.5-flash-preview-04-17,140.54,eci,146.9
2025-04-17,gemini-2.5-flash-preview-04-17 (16K thinking),140.54,eci,146.9
2025-04-17,gemini-2.5-flash-preview-04-17 (24K thinking),140.54,eci,146.9
2025-04-28,chutes/Qwen3-235B-A22B,139.46,eci,146.9
2025-04-29,Qwen3-235B-A22B,139.46,eci,146.9
2025-04-29,qwen3-235b-a22b,139.46,eci,146.9
2025-05-06,gemini-2.5-pro-preview-05-06,142.73,eci,146.9
2025-05-07,mistral-medium-2505,135.16,eci,146.9
2025-05-20,gemini-2.5-flash-preview-05-20,142.11,eci,146.9
