occ1990dd,label,emp_base,peak_year,end_over_peak,flipped,flip_year
4,Chief Executives,597060.0,1999,0.2623262497041648,True,2001.0
7,Financial Managers,646050.0,1999,0.9985767293571185,False,
8,Human Resources Managers,227810.0,1999,0.9812378264214789,False,
13,Sales Managers,856440.0,2025,1.0,False,
14,"Education Administrators, Kindergarten through Secondary",317290.0,2025,1.0,False,
15,Medical and Health Services Managers,230640.0,2025,1.0,False,
18,"Property, Real Estate, and Community Association Managers",143040.0,2025,1.0,False,
19,"Morticians, Undertakers, and Funeral Arrangers",23740.0,2013,0.6452160063563113,True,2019.0
22,General and Operations Managers,4332450.0,2025,1.0,False,
23,Accountants and Auditors,908120.0,2020,0.9827768201276935,False,
24,Insurance Underwriters,93970.0,2003,0.8470319926538517,False,
25,Financial and Investment Analysts,626710.0,2021,0.9139780052118321,False,
26,Management Analysts,300600.0,2024,0.9963995208181167,False,
27,Human Resources Specialists,446960.0,2025,1.0,False,
28,Buyers and Purchasing Agents,21550.0,2025,1.0,False,
29,Buyers and Purchasing Agents,133070.0,2002,0.9173787939951974,False,
33,Buyers and Purchasing Agents,362060.0,1999,0.5252714708363235,True,2004.0
34,"Agents and Business Managers of Artists, Performers, and Athletes",7280.0,2020,0.6732779545381353,True,2021.0
35,Construction and Building Inspectors,67010.0,2025,1.0,False,
36,Compliance Officers,150910.0,2025,1.0,False,
43,"Architects, Except Landscape and Naval",84910.0,2008,0.8324026627309224,False,
44,Aerospace Engineers,71790.0,2006,0.6659460659303515,True,2008.0
45,Materials Engineers,21730.0,2000,0.7311730717216887,False,
47,Petroleum Engineers,9640.0,2012,0.41449871311296227,True,2016.0
48,Chemical Engineers,28630.0,2003,0.5048595575681829,True,2005.0
53,Civil Engineers,209100.0,2025,1.0,False,
55,Electrical Engineers,316460.0,2003,0.8141155751720683,False,
56,Industrial Engineers,196380.0,2025,1.0,False,
57,Mechanical Engineers,202910.0,2020,0.874805197389905,False,
59,"Engineers, All Other",62350.0,2007,0.7972132128680561,False,
64,Computer User Support Specialists,1818430.0,2009,0.9187624070207396,False,
65,Logisticians,43760.0,2025,1.0,False,
