variant,exposure_terc,n,d_slope_wmean,pre_wmean,post_wmean
dv_rating_alpha,low,103,-0.004416150099884263,0.010458669718102415,0.0060425196182181526
dv_rating_alpha,mid,103,-0.017248421892281138,0.024248102187512544,0.0069996802952314125
dv_rating_alpha,high,103,0.005306575087418471,-0.011247720018235709,-0.005941144930817235
dv_rating_beta,low,103,-0.008223381623043093,0.0061522030249344505,-0.0020711785981086432
dv_rating_beta,mid,103,0.0011759564250735058,0.006070086651579107,0.007246043076652612
dv_rating_beta,high,103,-0.005949853925131114,0.004093274664443005,-0.001856579260688104
dv_rating_gamma,low,103,-0.006999325397023578,0.005167339090454872,-0.001831986306568711
dv_rating_gamma,mid,103,0.001258268174261059,0.006020144664419177,0.007278412838680234
dv_rating_gamma,high,103,-0.007349904606578487,0.004596453662049986,-0.0027534509445285
human_rating_alpha,low,103,-0.011816022832455792,-0.002154342405414062,-0.013970365237869858
human_rating_alpha,mid,103,-0.0011294217213164892,0.01499926720438801,0.013869845483071516
human_rating_alpha,high,103,-0.003064456539339229,0.0012227774258318017,-0.0018416791135074234
human_rating_beta,low,103,-0.008315219625764229,0.005055942862721675,-0.003259276763042554
human_rating_beta,mid,103,-0.003011051022637183,0.007314930111652592,0.004303879089015412
human_rating_beta,high,103,-0.0028353310397283013,0.0033713761336835995,0.0005360450939552974
human_rating_gamma,low,103,-0.008101155541008024,0.0065904689261635455,-0.0015106866148444805
human_rating_gamma,mid,103,-0.0022500858177826907,0.006390067572654773,0.004139981754872083
human_rating_gamma,high,103,-0.0031805146630142604,0.0035380248981176027,0.00035751023510334246
