occ1990dd,task_abstract,task_routine,task_manual,task_offshorability,onet_n_tasks,onet_n_core,onet_im_mean,label_latest
4,5.562008,1.9321327,0.5777097,0.46866226,49.0,38.0,3.8797959183673467,Chief Executives
7,7.4478188,2.0961373,0.035967983,0.47275448,59.0,37.0,4.030677966101695,Financial Managers
8,5.863101,1.8218352,0.24182163,1.1813816,20.0,15.666666666666666,3.8645299145299146,Human Resources Managers
13,6.9681273,1.3803619,0.08074426,0.32495964,20.166666666666668,11.5,3.6875383053221285,Sales Managers
14,6.9031773,1.483199,0.1800201,-1.1653323,25.333333333333332,17.0,3.8351100671750182,"Education Administrators, Kindergarten through Secondary"
15,7.816165,2.4129958,0.36406595,-2.188437,18.0,17.0,3.9766666666666666,Medical and Health Services Managers
18,5.185363,1.8410571,1.290845,0.4990003,27.0,17.0,3.9722222222222223,"Property, Real Estate, and Community Association Managers"
19,7.6369696,1.25,0.0,-2.209604,22.0,22.0,4.278181818181818,"Morticians, Undertakers, and Funeral Arrangers"
22,6.9133844,1.8862263,0.46777597,-0.14223063,37.77777777777778,30.166666666666668,3.8961000039171525,General and Operations Managers
23,7.6200447,5.992986,0.016087826,1.9673074,25.0,13.0,4.1816571428571425,Accountants and Auditors
24,2.9562736,2.8104918,0.01890868,2.551788,7.0,7.0,4.197142857142857,Insurance Underwriters
25,7.151824,3.1015058,0.07204149,1.3725127,23.333333333333332,13.0,4.044986309817329,Financial and Investment Analysts
26,7.1066017,4.335098,0.68610203,-0.052943587,11.0,10.0,3.950909090909091,Management Analysts
27,5.827072,1.8100438,0.23659158,0.63267636,20.6,13.8,3.8485514485514485,Human Resources Specialists
28,4.9383802,1.9886949,0.0021793083,0.7120725,12.0,6.0,3.6875,Buyers and Purchasing Agents
29,6.4817767,1.353025,0.047908023,1.1786948,20.0,10.0,3.5869999999999997,Buyers and Purchasing Agents
33,6.544037,1.6130649,0.10830733,0.9856056,18.5,17.5,3.98609649122807,Buyers and Purchasing Agents
34,6.3324394,1.7417452,0.79367095,0.7345849,14.0,9.0,3.7214285714285715,"Agents and Business Managers of Artists, Performers, and Athletes"
35,2.9562702,5.548353,3.321575,-0.2578994,40.0,31.0,3.7765,Construction and Building Inspectors
36,3.4318151,4.8944144,1.2762512,-0.057901263,63.0,46.333333333333336,4.088603870583987,Compliance Officers
37,6.157537,1.9730891,0.5579299,0.0085452795,45.0,33.333333333333336,3.882282608695652,"Business Operations Specialists, All Other"
43,5.225877,3.3097224,0.098537154,0.15837348,21.5,19.0,3.848717105263158,"Architects, Except Landscape and Naval"
44,8.402485,6.07936,1.2601364,0.9344667,16.0,10.0,3.5485714285714285,Aerospace Engineers
45,8.536591,7.222118,0.8728868,0.56463325,21.0,20.0,3.776666666666667,Materials Engineers
47,8.011862,6.0185757,0.4278065,2.3023481,23.0,13.0,3.744782608695652,Petroleum Engineers
48,9.00208,6.6582923,0.30427694,0.38232005,14.0,14.0,3.657857142857143,Chemical Engineers
53,8.181655,7.3536944,2.207295,0.10051954,70.0,61.0,3.6807142857142856,Civil Engineers
55,7.344628,6.4819326,2.9160354,1.3399316,27.0,21.666666666666668,3.602472694423914,Electrical Engineers
56,7.569672,5.190214,0.9913562,0.50717866,66.0,62.0,3.8057142857142856,Industrial Engineers
57,7.9324284,7.258739,0.27177006,0.9184209,79.0,66.0,3.6207594936708865,Mechanical Engineers
59,7.015902,5.72021,1.0348214,0.12239017,67.0,46.75,3.582691947378912,"Engineers, All Other"
64,5.347137,2.8755398,1.3905615,0.55302966,42.5,31.642857142857142,3.718256530066902,Computer User Support Specialists
65,5.3870726,2.7767406,1.118226,2.7579606,50.0,45.0,3.9286924167257267,Logisticians
66,7.99494,5.5320997,0.0,2.5070732,15.0,12.0,3.5493333333333337,Actuaries
68,5.298767,3.10421,0.22025917,2.7870965,36.5,23.5,3.676842105263158,Data Scientists
69,5.279859,6.829562,0.24026155,1.1379269,13.5,11.5,3.926794117647059,Physicists
73,8.49281,7.1018763,0.35686612,0.29382718,14.0,13.5,3.899375,Chemists
74,7.117947,1.25,0.0,0.59962904,27.0,18.0,3.764074074074074,Atmospheric and Space Scientists
75,5.7755527,6.517143,2.0132177,0.12169327,51.333333333333336,38.333333333333336,3.606328823024055,"Environmental Scientists and Specialists, Including Health"
76,9.0,6.25,0.0,2.0048308,24.0,24.0,3.8633333333333333,"Physical Scientists, All Other"
77,6.649819,5.27409,1.0447718,0.63094676,16.333333333333332,13.0,3.7579487179487177,Soil and Plant Scientists
78,7.8171263,7.686015,0.9445193,-0.28231725,35.0,26.75,3.7535998376623376,"Biological Scientists, All Other"
79,4.05933,2.0386262,2.9114633,-1.1972,45.5,37.5,3.515860606060606,Conservation Scientists
83,7.8371344,7.7883234,1.0412729,-0.44843423,15.0,11.0,3.981071428571429,"Medical Scientists, Except Epidemiologists"
84,7.885247,4.6948724,1.7559322,-1.5900813,23.625,17.4375,4.342073566221829,"Physicians, All Other"
85,4.1694655,4.08642,2.3291063,-3.1549306,14.25,13.5,4.375398809523809,"Dentists, General"
86,2.8558507,7.1291704,0.24938226,-1.4699517,21.0,14.0,4.175238095238096,Veterinarians
87,4.0,2.5,0.0,-1.3177618,10.0,10.0,4.642,Optometrists
88,4.7160687,2.4850776,0.27597547,-2.7806387,11.0,10.0,4.2309090909090905,Podiatrists
89,8.0,3.75,2.5,-2.2664003,21.666666666666668,21.333333333333332,4.412373737373737,Chiropractors
95,3.3275924,7.0432663,2.390473,-2.710765,62.666666666666664,56.0,4.404235604217356,Registered Nurses
96,4.42614,7.9906197,0.0,-1.5714599,20.0,14.0,4.049,Pharmacists
97,7.960227,1.5482984,0.0,-1.1801716,28.0,13.0,3.498571428571428,Dietitians and Nutritionists
98,5.031133,3.997978,1.050874,-3.2332487,22.0,20.0,4.460909090909091,Respiratory Therapists
99,5.031133,3.997978,1.050874,-2.3024116,38.0,35.0,4.158157894736842,Occupational Therapists
103,5.031133,3.997978,1.050874,-2.387278,24.0,23.0,4.27125,Physical Therapists
104,5.031133,3.997978,1.050874,-1.1537625,22.5,19.5,4.300316205533597,Speech-Language Pathologists
105,5.031133,3.997978,1.050874,-2.3315701,29.333333333333332,27.333333333333332,4.333121212121212,"Therapists, All Other"
106,5.031133,3.997978,1.050874,-1.5423132,28.0,17.0,4.4539285714285715,Physician Assistants
154,7.322094,1.5362158,0.26729897,-0.14572394,,,,
155,3.6391954,1.8316323,2.6327002,-0.37327826,35.5,34.0,4.184256756756756,"Preschool Teachers, Except Special Education"
156,2.5938041,1.3401071,2.2833598,-0.8749312,34.666666666666664,33.333333333333336,4.001445791899102,"Elementary School Teachers, Except Special Education"
157,7.109422,1.5725598,0.7578409,-1.1499335,32.5,31.0,3.799147727272727,"Secondary School Teachers, Except Special and Career/Technical Education"
158,5.515515,3.7407227,1.704576,-0.51153433,32.666666666666664,25.333333333333332,4.148372222222222,"Special Education Teachers, Kindergarten and Elementary School"
159,5.5905485,3.4052331,1.9325856,-0.63246405,25.0,16.333333333333332,3.808876678876679,"Teaching Assistants, Except Postsecondary"
163,4.6173143,1.3640599,0.17544048,-0.46893382,23.4,19.2,4.111153639426786,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
164,3.0220768,1.6365921,0.39130926,0.13159359,30.0,27.0,3.807142857142857,Librarians and Media Collections Specialists
165,4.903268,1.891496,1.9266927,0.20980538,17.333333333333332,12.333333333333334,3.8939508547008543,Museum Technicians and Conservators
166,5.249198,3.2291217,0.18317865,2.1586444,41.5,34.5,3.6558043217286915,Market Research Analysts and Marketing Specialists
167,5.0307097,1.8115981,0.08126497,-1.0975317,26.5,25.0,4.029219024122807,Clinical and Counseling Psychologists
169,5.292118,1.4231437,0.9962736,1.487038,19.8,15.8,3.719109523809524,"Social Scientists and Related Workers, All Other"
173,3.3735352,2.2314987,0.0,1.7483796,25.0,19.0,4.1078947368421055,Urban and Regional Planners
174,6.6975374,1.4129213,0.09642824,-0.85465,17.0,12.666666666666666,4.063950298067945,"Child, Family, and School Social Workers"
176,3.4067674,1.3149956,0.07791667,-2.2907472,20.0,19.0,3.9100877192982457,Clergy
177,4.993331,1.6418806,0.8774811,-1.0121664,21.0,11.75,3.797096256265664,Social and Human Service Assistants
178,3.3185246,1.4148376,0.0025036663,1.0808032,20.0,12.5,3.8475252525252523,Lawyers
183,1.9235256,1.25,0.0,2.2520046,36.0,16.0,3.9904166666666665,Writers and Authors
184,3.8645241,2.423263,0.86723924,2.6414232,15.0,15.0,3.8986666666666663,Technical Writers
185,4.204787,4.5671806,0.4703109,1.259736,19.714285714285715,15.142857142857142,3.9249848845971136,Graphic Designers
186,2.6060452,3.2083714,3.8321543,0.46828067,29.5,23.0,3.9157804232804234,Musicians and Singers
187,5.6163845,2.1051176,1.5205045,-0.53611004,50.5,35.5,3.8837777777777776,Producers and Directors
188,2.2279625,5.57006,0.19506082,1.8305568,18.25,10.0,3.8347991071428575,Art Directors
189,1.8540939,7.3460484,0.17731443,0.73343265,28.0,19.0,3.972142857142857,Photographers
193,1.0,7.5,10.0,-0.05979669,16.0,13.5,3.942420634920635,Dancers
194,3.641354,2.729391,1.0252031,2.493641,18.0,4.0,4.187647058823529,Interpreters and Translators
195,4.3902903,1.8775507,0.044249296,1.1662115,23.5,16.25,4.074902597402597,Editors
198,1.866116,4.352688,0.0,0.1328963,24.0,19.0,3.9270833333333335,Broadcast Announcers and Radio Disc Jockeys
199,5.5938773,3.5105655,5.846128,-2.0173678,17.333333333333332,11.333333333333334,4.066419753086421,Coaches and Scouts
203,3.0569625,7.9400826,0.5167818,-0.26919806,47.5,41.0,4.524092664092665,Clinical Laboratory Technologists and Technicians
204,2.0,8.642067,0.2107048,-0.8656534,16.0,14.0,4.2875,Dental Hygienists
205,3.464577,4.649157,0.0,1.1718912,16.5,0.0,,Medical Records Specialists
206,3.1303654,7.4355183,2.439022,-2.08845,22.4,18.0,4.498928820417055,Radiologic Technologists and Technicians
207,1.6037632,4.904202,2.4662807,-2.217206,22.0,15.0,4.185,Licensed Practical and Licensed Vocational Nurses
208,2.4305265,6.4888334,1.528741,-2.245986,21.666666666666668,15.333333333333334,4.280463516746411,Emergency Medical Technicians
214,3.578578,7.262657,1.1950006,0.30405915,32.111111111111114,18.333333333333332,3.828032631431069,Electrical and Electronic Engineering Technologists and Technicians
217,3.8506446,8.267157,0.123173,2.0951915,24.333333333333332,17.666666666666668,3.7856691358024688,Architectural and Civil Drafters
218,7.5442967,7.2842674,4.163928,-0.17191468,28.0,21.666666666666668,3.997921052631579,Surveying and Mapping Technicians
223,3.259058,6.5781307,0.68409324,1.0691465,27.0,19.0,3.925236928104576,Biological Technicians
224,3.701484,6.9962034,1.0010449,0.31521046,16.0,12.0,3.99375,Chemical Technicians
225,4.012308,6.3032007,0.7505492,-0.14320813,22.5,5.5,3.6134782608695653,"Geological Technicians, Except Hydrologic Technicians"
226,3.6381989,4.1696296,5.0220113,-1.5728499,24.0,18.5,4.34625,"Airline Pilots, Copilots, and Flight Engineers"
227,2.2891583,2.485899,0.0,0.8460785,25.0,17.5,4.259702093397745,Air Traffic Controllers
228,2.6618109,3.232348,0.42961565,-0.83383906,23.333333333333332,12.333333333333334,3.836094690749863,Audio and Video Technicians
229,7.5128417,5.064424,0.6934035,2.6609855,21.333333333333332,17.0,3.7059331880900506,Software Developers
233,6.1469107,5.550149,0.46539068,0.0897907,21.5,19.0,4.133043981481482,Computer Numerically Controlled Tool Operators
234,2.9899368,3.6767588,0.15840238,1.8841863,14.0,9.0,4.159255952380952,Paralegals and Legal Assistants
235,4.026631,5.847251,1.1749334,-0.60902727,26.4,14.0,3.7066238636363638,"Life, Physical, and Social Science Technicians, All Other"
243,6.9852853,1.8737484,0.50928026,-0.5162374,19.5,12.5,4.029246031746031,First-Line Supervisors of Retail Sales Workers
253,3.2032175,3.2352405,0.0148284435,0.6309631,19.0,14.0,3.9499999999999997,Insurance Sales Agents
254,2.1223013,1.319315,0.051101558,-0.07501614,23.0,17.5,4.011312866055513,Real Estate Sales Agents
255,6.470497,2.0716207,0.012968535,0.20836937,30.0,22.0,4.191923076923077,"Securities, Commodities, and Financial Services Sales Agents"
256,3.202989,1.5916697,0.0014202903,1.072406,20.0,19.0,4.1615,Advertising Sales Agents
258,5.7382956,3.3232603,0.4724288,-0.65831697,25.0,19.0,3.8244,Sales Engineers
274,2.150534,1.5855452,0.1954993,1.5643047,26.0,19.0,4.03928226363009,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
275,2.0562785,2.153934,0.44529647,-0.6834582,18.5,12.0,4.187591374269005,Retail Salespersons
276,1.5234323,7.4632883,0.035287406,0.9254247,19.333333333333332,10.0,4.528215363068305,Cashiers
277,1.6409009,1.6086107,1.5516793,1.4542236,12.0,11.0,3.9958333333333336,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
283,1.9611244,2.3375325,0.6960809,2.4572597,15.5,8.0,3.835119047619047,Demonstrators and Product Promoters
303,4.5848923,4.5032663,0.1223913,-0.690127,28.0,19.0,3.7764285714285712,First-Line Supervisors of Office and Administrative Support Workers
308,1.9069905,7.00971,1.921948,0.99264824,215.0,149.0,3.88,"Computer Occupations, All Other"
313,1.9941552,8.53623,0.014969248,0.49324155,20.5,14.0,3.9897400502723084,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
315,1.0668821,7.829109,0.056218807,1.4336649,19.0,17.0,3.91421052631579,Word Processors and Typists
316,1.7676997,6.0885067,0.080419056,1.0849874,15.666666666666666,8.666666666666666,4.032820707070708,"Interviewers, Except Eligibility and Loan"
