year,occ1990dd,emp,h_mean,a_mean,h_median,a_median,n_source_codes,top_source_title
1999,4,597060.0,48.67,101240.0,52.08,108320.0,1,Chief Executives
1999,7,646050.0,33.22,69100.0,30.62,63690.0,1,Financial Managers
1999,8,227810.0,27.340000000000003,56880.0,25.55,53140.0,1,Human Resources Managers
1999,13,856440.0,30.649298841716874,63752.278735229556,27.980901756106668,58197.85974499089,5,Sales Managers
1999,14,317290.0,26.149699397268634,60898.00466450251,23.629027237354084,58054.71997226512,3,"Education Administrators, Elementary and Secondary School"
1999,15,230640.0,27.93,58090.0,25.82,53700.0,1,Medical and Health Services Managers
1999,18,143040.0,19.68,40940.0,16.73,34790.0,1,"Property, Real Estate, and Community Association Managers"
1999,19,23740.0,20.56,42770.0,17.75,36920.0,1,Funeral Directors
1999,22,4332450.0,29.50547957852947,61366.6499786495,26.433445186903484,54985.442647924385,13,General and Operations Managers
1999,23,908120.0,21.17051182663084,44030.29379377175,19.05913932079461,39641.12540192926,2,Accountants and Auditors
1999,24,93970.0,21.61,44940.0,19.69,40960.0,1,Insurance Underwriters
1999,25,626710.0,23.44683665491216,48763.50305563977,20.306015541478516,42236.668155925385,7,Loan Officers
1999,26,300600.0,28.05,58350.0,25.91,53890.0,1,Management Analysts
1999,27,446960.0,19.56809938249508,40702.996688741725,17.79586674422767,37011.94223196706,3,Training and Development Specialists
1999,28,21550.0,21.08,43840.0,16.94,35230.0,1,"Purchasing Agents and Buyers, Farm Products"
1999,29,133070.0,19.12,39770.0,16.52,34360.0,1,"Wholesale and Retail Buyers, Except Farm Products"
1999,33,362060.0,22.02882919958018,45821.013367950065,20.267346848588634,42153.75738827819,2,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1999,34,7280.0,33.53,69740.0,25.0,52010.0,1,"Agents and Business Managers of Artists, Performers, and Athletes"
1999,35,67010.0,19.11,39740.0,18.55,38580.0,1,Construction and Building Inspectors
1999,36,150910.0,21.605419786627795,44946.1858061096,19.671351799085546,40918.755549665366,2,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
1999,43,84910.0,24.98086444470616,51956.19008361795,22.946362030385114,47723.91826639972,2,"Architects, Except Landscape and Naval"
1999,44,71790.0,31.03,64550.0,31.35,65200.0,1,Aerospace Engineers
1999,45,21730.0,28.54,59370.0,28.29,58830.0,1,Materials Engineers
1999,47,9640.0,34.99,72780.0,35.71,74280.0,1,Petroleum Engineers
1999,48,28630.0,30.890000000000004,64250.0,31.84,66220.0,1,Chemical Engineers
1999,53,209100.0,26.76,55660.0,25.83,53730.0,1,Civil Engineers
1999,55,316460.0,30.38550938507236,63196.65265752386,29.79955981798648,61988.01301902294,3,Electrical Engineers
1999,56,196380.0,27.246995111518487,56673.07821570425,26.469967919340053,55061.08463183624,2,Industrial Engineers
1999,57,202910.0,27.409999999999997,57010.0,26.85,55840.0,1,Mechanical Engineers
1999,59,62350.0,27.252445870088213,56681.26704089816,26.287056936647954,54676.12670408982,3,Environmental Engineers
1999,64,1818430.0,26.077214465225495,54240.43345083396,24.92324730674263,51838.93556529534,8,Computer Support Specialists
1999,65,43760.0,25.890000000000004,53850.0,23.35,48560.0,1,Operations Research Analysts
1999,66,12560.0,34.56,71880.0,31.88,66310.0,1,Actuaries
1999,68,1560.0,21.010000000000005,43710.0,17.44,36270.0,1,Mathematical Technicians
1999,69,10970.0,36.60132178669097,76122.64357338195,36.65045578851413,76222.7711941659,2,Physicists
1999,73,82040.0,25.158824963432473,52327.63529985373,23.49579229644076,48874.56850316918,2,Chemists
1999,74,7170.0,25.76,53580.0,25.6,53250.0,1,Atmospheric and Space Scientists
1999,75,81440.0,24.640073673870337,51244.37377210216,22.708555992141452,47235.55992141454,3,"Environmental Scientists and Specialists, Including Health"
1999,77,9720.0,21.69,45110.0,20.56,42770.0,1,Agricultural and Food Scientists
1999,78,38560.0,24.16923236514523,50266.08921161826,22.507733402489627,46812.83195020747,3,Microbiologists
1999,79,22330.0,21.12932377966861,43949.90595611285,20.776950291088223,43226.12180922526,2,Conservation Scientists
1999,83,23470.0,26.550826587132512,55216.5061780997,23.746233489561142,49396.991904559014,2,"Medical Scientists, Except Epidemiologists"
