year,coverage,share_split_codes,share_via_walk
1999,0.9119763659506263,0.0,0.324012917013687
2000,0.9156897179244048,0.0,0.32769727340233445
2001,0.9196228547791025,0.0,0.3332088872039088
2002,0.920298460459447,0.0,0.3338439048534955
2003,0.9241713688027028,0.0,0.3382087234948037
2004,0.9746559985314612,0.0,0.3694850967037797
2005,0.9741023256927596,0.0,0.3695592682681257
2006,0.9740558763328496,0.0,0.37045456362196955
2007,0.97492174605567,0.0,0.3729190554076257
2008,0.9749155288636192,0.0,0.3739862705415377
2009,0.9743764926124557,0.0,0.37622310886513727
2010,0.9599334084254911,0.0,0.36338089694529757
2011,0.9582958335590791,0.0,0.36050134648388216
2012,0.9713167858516192,0.0,0.34507179112072744
2013,0.9715373416504757,0.0,0.3439871735782228
2014,0.9718509658897406,0.0,0.3433639269831492
2015,0.9719722725699085,0.0,0.34279423446514223
2016,0.9722712329711587,0.0,0.3418340906455582
2017,0.9725876495316531,0.0013869625520110957,0.33952048151779124
2018,0.9728163400163625,0.001388888888888889,0.338106435375916
2019,0.9448315675291751,0.007246376811594203,0.3331193879332343
2020,0.9432644543760991,0.00725689404934688,0.3362812695970232
2021,0.9737260490391153,0.02021563342318059,0.054644627998277476
2022,0.9740745574293713,0.020242914979757085,0.05506795775124082
2023,0.9743911696158946,0.02021563342318059,0.05626606684439455
2024,0.9738679650695148,0.02021563342318059,0.05796628751328416
2025,0.973912016747984,0.02021563342318059,0.05989019762793486
