from,to,date0,date1,years,matched_occs,base_tasks,occs_added,occs_dropped,birth_rate_txt,death_rate_txt,birth_rate_id,death_rate_id
5.1,7.0,2003-11-01,2004-12-01,1.0841889117043122,946,14534,53,0,96.84214860869601,72.79026504205395,,
7.0,9.0,2004-12-01,2005-12-01,0.999315537303217,999,16271,6,0,97.66379885888246,70.17279250502827,,
9.0,11.0,2005-12-01,2006-12-01,0.999315537303217,772,14171,40,233,57.409981604337624,53.80861744465593,,
11.0,13.0,2006-12-01,2008-06-01,1.5003422313483916,812,15271,0,0,36.837032359890195,37.709947818655365,,
13.0,14.0,2008-06-01,2009-06-01,0.999315537303217,812,15251,153,0,8.267412062806573,4.461777938657514,8.201797681355725,4.396163557206669
14.0,15.0,2009-06-01,2010-07-01,1.08145106091718,965,18361,0,0,36.41120867772157,31.22399637646939,10.878037447286111,5.690825146033937
15.0,16.0,2010-07-01,2011-07-01,0.999315537303217,885,16707,89,80,167.7092121996276,134.8861235262719,41.9273030499069,9.104214376551212
16.0,17.0,2011-07-01,2012-07-01,1.002053388090349,974,19355,0,0,10.00271035992733,8.043416578085893,7.682494039325629,5.723200257484193
17.0,18.0,2012-07-01,2013-07-01,0.999315537303217,974,19393,0,0,28.94777737200755,26.006559350252772,7.533646160985922,4.592428139231145
18.0,19.0,2013-07-01,2014-07-01,0.999315537303217,974,19450,0,0,16.257914568440327,14.04560340881079,12.347783216536957,10.13547205690742
19.0,20.0,2014-07-01,2015-08-01,1.0841889117043122,974,19493,0,0,7.996557427763501,6.245831837069717,6.7663178234921935,5.015592232798409
20.0,21.0,2015-08-01,2016-08-01,1.002053388090349,974,19530,0,0,7.307064373431375,5.467523692008092,4.956540169390513,3.11699948796723
21.0,22.0,2016-08-01,2017-08-01,0.999315537303217,974,19566,0,0,12.172289364133198,9.819662008040225,4.705254712185941,2.3526273560929707
22.0,23.0,2017-08-01,2018-08-01,0.999315537303217,974,19612,0,0,6.32699018493011,5.102411439459766,2.857350406097469,1.632771660627125
23.0,24.0,2018-08-01,2019-08-01,0.999315537303217,974,19636,0,0,6.4721423050198545,3.4653990294594497,3.82213128249204,0.8153880069316352
24.0,25.0,2019-08-01,2020-08-01,1.002053388090349,974,19695,0,0,4.813674936219978,2.7868644367589344,2.7868644367589344,0.7600539372978913
25.0,26.0,2020-08-01,2021-08-01,0.999315537303217,722,14579,201,252,18.60111231486084,8.511210062888352,17.022420125776705,6.932517873804224
26.0,27.0,2021-08-01,2022-08-01,0.999315537303217,923,19259,0,0,4.364584570672171,4.052828529909873,0.7274307617786953,0.41567472101639724
27.0,28.0,2022-08-01,2023-08-01,0.999315537303217,923,19265,0,0,1.9738399894762664,1.1427494675915228,1.5063515709160982,0.6752610490313543
28.0,29.0,2023-08-01,2024-08-01,1.002053388090349,923,19281,0,0,3.209011504573006,28.311762790345714,0.931648501327647,26.03439978710036
29.0,30.0,2024-08-01,2025-08-01,0.999315537303217,923,18796,0,0,1.3309812347133023,1.2777419853247702,1.118024237159174,1.064784987770642
30.0,30.3,2025-08-01,2026-05-01,0.7474332648870636,923,18797,0,0,0.0,0.07117689460616523,0.0,0.07117689460616523
