occ1990dd,emp_2025,top_source_title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,n_soc_sources,flipped_d30,flip_year_d30,flipped_d40,flip_year_d40,flipped_d50,flip_year_d50
4,204350.0,Chief Executives,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,1.0,True,2001.0,True,2001.0,True,2002.0
7,841710.0,Financial Managers,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,1.0,False,,False,,False,
8,291650.0,Human Resources Managers,0.08749601275917063,0.497719298245614,0.9079425837320575,0.12322169059011161,0.4625996810207336,0.8019776714513557,3.0,False,,False,,False,
13,1450830.0,Sales Managers,0.0966540404040404,0.5216922128259337,0.946730385247827,0.2851545983086681,0.5784747915198497,0.8717949847310312,6.0,False,,False,,False,
14,637590.0,"Education Administrators, Kindergarten through Secondary",0.03502402069475236,0.44198540280857346,0.8489467849223947,0.298480229120473,0.4819267368810052,0.6653732446415374,3.0,False,,False,,False,
15,597080.0,Medical and Health Services Managers,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,1.0,False,,False,,False,
18,311180.0,"Property, Real Estate, and Community Association Managers",0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,1.0,False,,False,,False,
19,25100.0,"Morticians, Undertakers, and Funeral Arrangers",0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,True,2019.0,False,,False,
22,7437956.666666667,General and Operations Managers,0.09120373773732494,0.4610223260592253,0.8308409143811256,0.18324475542472685,0.4179525709038357,0.6526603863829447,18.0,False,,False,,False,
23,1506110.0,Accountants and Auditors,0.1567741935483871,0.5703225806451613,0.9838709677419355,0.3258064516129032,0.5987096774193548,0.8716129032258064,2.0,False,,False,,False,
24,105420.0,Insurance Underwriters,0.1428571428571428,0.5714285714285714,1.0,0.1428571428571428,0.5,0.8571428571428571,1.0,False,,False,,False,
25,1314890.0,Financial and Investment Analysts,0.1413695354046231,0.5549519332852666,0.9685343311659101,0.29140715000364126,0.6120328143135161,0.932658478623391,9.0,False,,False,,False,
26,898280.0,Management Analysts,0.0952380952380952,0.4047619047619047,0.7142857142857142,0.1904761904761904,0.5,0.8095238095238095,1.0,False,,False,,False,
27,1548230.0,Human Resources Specialists,0.1374710360807679,0.4721574376192052,0.8068438391576425,0.24556548604214937,0.41961491779763876,0.5936643495531281,5.0,False,,False,,False,
28,163810.0,Buyers and Purchasing Agents,0.0555555555555555,0.5277777777777778,1.0,0.0555555555555555,0.25,0.4444444444444444,1.0,False,,False,,False,
29,163810.0,Buyers and Purchasing Agents,0.0333333333333333,0.4666666666666667,0.9,0.1,0.4,0.7,1.0,False,,False,,False,
33,248130.0,Buyers and Purchasing Agents,0.14060150375939845,0.5296992481203007,0.918796992481203,0.1360902255639097,0.41992481203007515,0.7037593984962406,2.0,True,2004.0,True,2017.0,False,
34,12620.0,"Agents and Business Managers of Artists, Performers, and Athletes",0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521,1.0,True,2021.0,False,,False,
35,146720.0,Construction and Building Inspectors,0.0,0.33410428931875524,0.6682085786375105,0.07317073170731705,0.28238015138772077,0.4915895710681245,1.0,False,,False,,False,
36,535190.0,Compliance Officers,0.09830070319412397,0.4287680916436809,0.7592354800932378,0.22679311088411314,0.44409811868256227,0.6614031264810113,3.0,False,,False,,False,
37,1456146.6666666667,"Business Operations Specialists, All Other",0.10805076555798754,0.5183543294167859,0.9286578932755845,0.23870608249882028,0.5126633112015421,0.786620539904264,3.0,,,,,,
43,126370.0,"Architects, Except Landscape and Naval",0.03488372093023255,0.45471236230110157,0.8745410036719705,0.10771113831089349,0.39932680538555687,0.6909424724602202,2.0,False,,False,,False,
44,67710.0,Aerospace Engineers,0.2142857142857142,0.5714285714285714,0.9285714285714284,0.1428571428571428,0.5178571428571428,0.8928571428571428,1.0,True,2008.0,False,,False,
45,22770.0,Materials Engineers,0.1463414634146341,0.4878048780487805,0.8292682926829269,0.1463414634146341,0.3170731707317073,0.4878048780487805,1.0,False,,False,,False,
47,18060.0,Petroleum Engineers,0.1666666666666666,0.5277777777777778,0.8888888888888888,0.0833333333333333,0.4305555555555555,0.7777777777777777,1.0,True,2016.0,True,2020.0,True,2020.0
48,21070.0,Chemical Engineers,0.0769230769230769,0.4615384615384615,0.8461538461538463,0.0769230769230769,0.3461538461538461,0.6153846153846154,1.0,True,2005.0,True,2005.0,False,
53,367840.0,Civil Engineers,0.0556277056277056,0.48214285714285715,0.9086580086580086,0.17186147186147183,0.45454545454545453,0.7372294372294372,1.0,False,,False,,False,
55,372310.0,Electrical Engineers,0.3960163610898905,0.6366235888294712,0.8772308165690519,0.18738593922417449,0.39075364994482636,0.5941213606654784,3.0,False,,False,,False,
