rule,cohort,n,cov_9901,mem_9901
d30,2000-07,89,0.17910222306753582,0.1675847771724439
d30,2008-15,31,0.09278960597736267,0.08305583616669872
d30,2016-25,12,0.1012255443060246,0.09073803101826286
d30,spearman_flipyear_cov,132,-0.18114039330569057,
d40,2000-07,61,0.18792562704019877,0.17460539070750136
d40,2008-15,33,0.18645307994491264,0.17558739867389692
d40,2016-25,8,0.08292943277760971,0.07623696999400226
d40,spearman_flipyear_cov,102,-0.09649499080062986,
d50,2000-07,45,0.1853783663256686,0.1712697616616721
d50,2008-15,27,0.17164951217734425,0.16198886019911804
d50,2016-25,5,0.18259391366522584,0.17253116612692154
d50,spearman_flipyear_cov,77,-0.102258067561015,
