rule,year,dmass,dlog_wc,density
d30,2000,0.0018112073465583914,0.16190349657327618,0.011186956334439967
d30,2001,0.04381623431121058,0.16004217545297705,0.2737792971583574
d30,2002,0.028966127258674878,0.19066826572538087,0.15191897376564348
d30,2003,0.015021322140843807,0.19982706205907808,0.0751716108221759
d30,2004,0.04425806579538935,0.1051037124233356,0.4210894627311278
d30,2005,0.014592077465775302,0.14968314823573692,0.09748644144492571
d30,2006,0.0070955981083577705,0.16493613660009065,0.04302027593602475
d30,2007,0.003086182140611038,0.1411102615234574,0.0218707137758228
d30,2008,0.007389836324065505,0.12890606475859467,0.05732729750073916
d30,2009,0.011174327737232256,0.10079774889830806,0.11085890170529217
d30,2010,0.0034919774178850797,0.0571059107909726,0.06114914147270894
d30,2011,0.007392939920832419,0.059122176445804975,0.1250451246091937
d30,2012,0.013741864373683396,0.0316429598872392,0.4342787281168707
d30,2013,0.017267722722940623,0.025857693855726005,0.6677982506594187
d30,2014,0.04852939084585513,0.019985753478499513,2.428199211906751
d30,2015,0.003906566219332046,0.02836294001850992,0.13773488280067525
d30,2016,0.0017595669447977899,0.03642691626381178,0.04830403243729491
d30,2017,0.003624052702521543,0.019635966661515347,0.18456197064259364
d30,2018,0.0,0.020858334750585295,0.0
d30,2019,0.00020466496457373606,0.04413336523494804,0.004637420316447279
d30,2020,0.0,0.06953254613433968,0.0
d30,2021,0.05247251053821972,0.0402064132361577,1.305078128457156
d30,2022,0.00022328654517522176,0.025640951078852003,0.008708200584625847
d30,2023,0.0,0.04852843493632997,0.0
d30,2024,0.0,0.03677576784945469,0.0
d30,2025,0.0,0.017800654425792928,0.0
d40,2000,0.0,0.16190349657327618,0.0
d40,2001,0.020475376192567833,0.16004217545297705,0.1279373773482842
d40,2002,0.015064255229452789,0.19066826572538087,0.07900766901163199
d40,2003,0.020537879183012635,0.19982706205907808,0.1027782672245899
d40,2004,0.02142585270243533,0.1051037124233356,0.20385438542966505
d40,2005,0.005077311888629154,0.14968314823573692,0.033920397509496956
d40,2006,0.0005562335094480813,0.16493613660009065,0.0033724174757211794
d40,2007,0.0015582642100548775,0.1411102615234574,0.011042883722498382
d40,2008,0.005924680017018055,0.12890606475859467,0.04596122011879999
d40,2009,0.020485807726145517,0.10079774889830806,0.2032367582614673
d40,2010,0.0030456629605985458,0.0571059107909726,0.053333585235103356
d40,2011,0.0036006895157483826,0.059122176445804975,0.06090251970086041
d40,2012,0.00487376766733236,0.0316429598872392,0.15402376025189182
d40,2013,0.002883068974420759,0.025857693855726005,0.11149752914961995
d40,2014,0.012568187529661979,0.019985753478499513,0.6288573279552716
d40,2015,0.0010833276936956897,0.02836294001850992,0.03819518332685892
d40,2016,0.0,0.03642691626381178,0.0
d40,2017,0.00870438197689631,0.019635966661515347,0.4432876734281731
d40,2018,0.0,0.020858334750585295,0.0
d40,2019,0.0,0.04413336523494804,0.0
d40,2020,8.310742453626014e-05,0.06953254613433968,0.0011952305669303874
d40,2021,0.0025463287252105596,0.0402064132361577,0.06333140711294888
d40,2022,0.0,0.025640951078852003,0.0
d40,2023,0.0,0.04852843493632997,0.0
d40,2024,0.0,0.03677576784945469,0.0
d40,2025,0.0,0.017800654425792928,0.0
d50,2000,0.0,0.16190349657327618,0.0
d50,2001,0.0008646965436708394,0.16004217545297705,0.005402929204276538
d50,2002,0.015819722409132507,0.19066826572538087,0.08296987623476694
d50,2003,0.010740772511098591,0.19982706205907808,0.05375033992104195
d50,2004,0.02655678784631506,0.1051037124233356,0.2526722152244244
d50,2005,0.007054216818132247,0.14968314823573692,0.04712766200656414
d50,2006,0.0036268976662245478,0.16493613660009065,0.02198970911400961
d50,2007,0.002300885947560422,0.1411102615234574,0.016305589138022648
d50,2008,0.0015313663714082873,0.12890606475859467,0.011879707710231571
d50,2009,0.01674347350239602,0.10079774889830806,0.16610959753960405
d50,2010,0.005631562544587263,0.0571059107909726,0.09861610587388635
d50,2011,0.00043458975838930224,0.059122176445804975,0.007350706359527782
d50,2012,0.0015010200919095698,0.0316429598872392,0.0474361468477825
d50,2013,0.002732889375310629,0.025857693855726005,0.10568960211838264
d50,2014,0.0040254512177091235,0.019985753478499513,0.20141603477895725
d50,2015,0.0025679676915576566,0.02836294001850992,0.09053954526159054
d50,2016,0.00184267436933405,0.03642691626381178,0.05058551637994813
d50,2017,0.0,0.019635966661515347,0.0
d50,2018,0.0012313520172732401,0.020858334750585295,0.059034051950800526
d50,2019,0.0,0.04413336523494804,0.0
d50,2020,8.310742453626014e-05,0.06953254613433968,0.0011952305669303874
d50,2021,0.0010316872919350882,0.0402064132361577,0.02565976939736793
d50,2022,0.0,0.025640951078852003,0.0
d50,2023,0.0,0.04852843493632997,0.0
d50,2024,0.0,0.03677576784945469,0.0
d50,2025,0.0,0.017800654425792928,0.0
