year,ahetpi_x_pc_hedonic,ahetpi_x_ppi_computer,ahetpi_x_equip_broad,oews_x_pc_hedonic,oews_x_ppi_computer,oews_x_equip_broad,wc_median
1999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000,1.1869840454571432,1.1703192091854866,1.0618302648600106,1.1979937438657717,1.1811743353215711,1.0716791175231992,1.1757467722535289
2001,1.4877407130194598,1.3764881489805074,1.1353399199704852,1.4949209750385022,1.383131474318918,1.1408193950125587,1.3798098116497126
2002,1.7651341484133698,1.6532990350352854,1.1934482442002452,1.8000478487474254,1.6860006782071033,1.2170542088798506,1.6696498566211944
2003,2.029025299476835,2.110598279447821,1.2578814647103171,2.0488992917349993,2.1312712665597395,1.2702022211335053,2.0389622956059172
2004,2.2333715168452852,2.4580521579666788,1.2951982132706206,2.296492373644244,2.527523070932627,1.3318038654558881,2.264931945244765
2005,2.5993072193141926,2.9345448894363417,1.3339389046670933,2.6619764524099407,3.005296694509443,1.3661001388339902,2.6306418358620665
2006,3.0721681062091717,3.4034417605875356,1.3994827920934199,3.1325573842921814,3.4703428492695148,1.4269922748373178,3.1023627452506766
2007,3.539094511054829,4.102990023781754,1.4605680736973,3.605967134638095,4.180517681370213,1.4881660987585137,3.572530822846462
2008,4.02288992532678,5.01963559636569,1.5253316025590975,4.105212594399432,5.122355235166484,1.5565453248021512,4.064051259863106
2009,4.451379674999106,5.77794081634388,1.5614586113744973,4.538731840589132,5.8913249084251165,1.592100075626316,4.495055757794119
2010,4.721634908221206,6.319970082221119,1.6582924129759018,4.796806936181593,6.420588824873653,1.684693692629623,4.759220922201399
2011,5.011611638475738,7.08499482897364,1.6922886423857644,5.086549482561798,7.190935647246154,1.7175931694680513,5.049080560518768
2012,5.175274836407893,7.851162507029001,1.70775576946717,5.247531268171613,7.960779291815792,1.73159920621714,5.211403052289754
2013,5.325643837389326,8.632961837249324,1.7470120550466008,5.370186675033579,8.705166556386931,1.7616237858920192,5.3479152562114525
2014,5.44755207713574,9.221556279185425,1.8000635445631061,5.464193088817707,9.2497260008503,1.8055623223717814,5.455872582976724
2015,5.596707798159612,9.788773928123218,1.8489564508811052,5.628957343864195,9.84517914411299,1.8596105725038348,5.612832571011904
2016,5.797592989065761,10.447520493233224,1.9185284566425536,5.844527560989753,10.532098679894798,1.9340599560089873,5.821060275027756
2017,5.921133825619477,11.14001044119175,1.9674849836247914,5.9518502114823795,11.19780019384822,1.977691479494721,5.936492018550928
2018,6.056697840010536,11.75606745003113,2.0277672295740907,6.066537714573085,11.775166674082397,2.031061594871505,6.0616177772918105
2019,6.428422862182461,12.870091272121211,2.098403861967492,6.241834035628272,12.496529159050272,2.037496432161549,6.335128448905366
2020,6.8869139638488,14.261192394494982,2.21513300025828,6.695689492934511,13.865211119781899,2.153626839704701,6.791301728391655
2021,7.118078209158496,14.819581731624137,2.314735148006437,7.0217601588373855,14.619051029793994,2.28341338250815,7.069919183997941
2022,7.300046101527425,14.508797803329749,2.3196317005513563,7.207039331758245,14.323947406749442,2.290078263693289,7.253542716642835
2023,7.629344951828015,15.186619456775768,2.3280988733060566,7.599108500041929,15.126432181210463,2.3188722031554176,7.614226725934972
2024,7.923635848482065,15.66873625013414,2.375588901436824,7.8752809943672455,15.573116073989373,2.3610916104251762,7.899458421424655
2025,8.115765349469195,16.144502739245517,2.417337469701494,7.966900519145729,15.848369404009095,2.3729970388528856,8.041332934307462
