year,headline_tier,pce_b,dpi_b,dpi_tier,minimum_intertemporal_share_pce,current_labor_origin_share_pce_central,current_ownership_property_origin_share_pce_central,current_fiscal_nonlabor_unresolved_share_pce_central,identity_sum,labor_financing_capacity_lower_share_pce,labor_financing_capacity_upper_share_pce,source_allocation_rule,guardrail
1950,WEAK,192.044,220.07984457962408,WEAK_BACKCAST,0.08697610788106351,0.7222281718974178,0.18387592628784585,0.006919793933672835,1.0,0.6281532402397156,0.9217586060956198,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1951,WEAK,208.339,238.9042329779148,WEAK_BACKCAST,0.08642890644395312,0.7251928704668383,0.18118060993395171,0.007197613155256802,1.0,0.6321124589052102,0.9255996234190212,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1952,WEAK,219.32,251.65550195020893,WEAK_BACKCAST,0.0858860541033325,0.7279237782820627,0.1787059028088825,0.0074842648057222945,0.9999999999999999,0.6357716675813144,0.9291555864435076,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1953,WEAK,232.74,267.2239204301192,WEAK_BACKCAST,0.08534752327560256,0.7304275540586066,0.17644495221088166,0.007779970454909233,1.0,0.6391387019794668,0.9324353480452333,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1954,WEAK,239.608,275.2852320430388,WEAK_BACKCAST,0.08481328638475542,0.7327109134223988,0.17439084398705287,0.008084956205793005,1.0,0.6422214598967032,0.9354478251113059,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1955,WEAK,258.288,296.9370036813905,WEAK_BACKCAST,0.08428331586637171,0.7347805784530186,0.1725366533480093,0.008399452332600386,1.0,0.6450278401427206,0.9382019345311118,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1956,WEAK,271.128,311.89912343780577,WEAK_BACKCAST,0.08375758417153385,0.7366432340114865,0.1708754889435974,0.00872369287338225,1.0,0.6475656897967731,0.9407065377885108,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1957,WEAK,286.296,329.56111106121875,WEAK_BACKCAST,0.08323606377065841,0.7383054905206781,0.1694005305303109,0.009057915178352713,1.0000000000000002,0.6498427593865685,0.9429703937245522,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1958,WEAK,295.606,340.49914405877007,WEAK_BACKCAST,0.08271872715724703,0.7397738528010823,0.16810506062649447,0.009402359415176158,1.0,0.6518666655017424,0.9438691307758392,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1959,WEAK,317.13,365.53033184245254,WEAK_BACKCAST,0.08220554685155679,0.741054694521052,0.16698249059512524,0.00975726803226601,1.0,0.6536448603015376,0.9439164501121377,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1960,WEAK,331.18,376.07,STRONG_NIPA,0.08458586617257847,0.7461767238990433,0.15859761068070818,0.010639799247669982,1.0,0.6752613953236739,0.928239299268862,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1961,WEAK,341.475,393.326,STRONG_NIPA,0.07998745113297559,0.7469527712551869,0.16194568718044303,0.011114090431394594,1.0,0.6720155882168384,0.9330283315973756,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1962,WEAK,362.557,417.282,STRONG_NIPA,0.08095848091377278,0.7443637793166836,0.1639753402052604,0.010702399564283259,1.0,0.6699658508622947,0.9318858704703483,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
1963,WEAK,382.035,438.222,STRONG_NIPA,0.0835112204777684,0.7400085879684308,0.165752228228092,0.010727963325708804,1.0,0.6666173965489643,0.9284684351984013,Minimum intertemporal share first; remaining PCE allocated pro rata to accrual-consistent current resource-origin shares after common proportional netting to DPI.,"Central source shares are accounting conventions, not behavioral tracing. Capacity band is conditional on the same resource classification/netting assumptions."
