year,legal_form_tier,proprietor_effort_tier,employee_comp_share_resources,proprietors_share_resources,rental_share_resources,interest_share_resources,dividends_share_resources,transfers_share_resources,proprietor_effort_share_low,proprietor_effort_share_mid,proprietor_effort_share_high,transfer_wage_exposure_low,transfer_wage_exposure_mid,transfer_wage_exposure_high,labor_origin_current_resource_share_low,labor_origin_current_resource_share_mid,labor_origin_current_resource_share_high,ownership_origin_current_resource_share_mid,fiscal_nonlabor_or_unresolved_current_resource_share_mid
1950,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6556468062521762,0.14175281915802393,0.0792201292323759,0.0514235516939435,0.03552885302686747,0.03642784063661295,0.6789844405230424,0.7515414106963423,0.8137765815935232,0.6709338471568947,0.7919452711056492,0.9150797024921019,0.7763354361226922,0.7910287760611369,0.8043363084300192,0.201392239431006,0.007578984507857125
1951,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6596970412416505,0.139308566516989,0.07462881040736564,0.053219148210937546,0.03527876566635694,0.037867667956700296,0.6747071807656335,0.7473624207165,0.8099294341400493,0.6709338471568945,0.7919452711056492,0.9150797024921029,0.7790962315578788,0.7938001493064408,0.807179084019504,0.19832130330296668,0.007878547390592579
1952,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6634565366124591,0.13684520057870342,0.07027807230567507,0.055052944782664,0.03501484616078349,0.03935239955971485,0.6704005952232179,0.7431371650693392,0.806021754189739,0.6709338471568943,0.7919452711056498,0.9150797024921015,0.7816004973653173,0.7963162377618381,0.8097673273168066,0.19549630941642324,0.00818745282173862
1953,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6669286269802117,0.13436666510545647,0.06615842627215444,0.056925212473346344,0.03473792939744116,0.04088313977138998,0.6660652131113857,0.7388659349178118,0.8020533705422194,0.6709338471568939,0.7919452711056503,0.9150797024921026,0.7838554706594154,0.7985847878250469,0.8121091949955073,0.1929092816134668,0.008505930561486349
1954,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6701168579191243,0.13187672658071464,0.062260351682173476,0.05883621808952707,0.0344488304913417,0.04246101523711867,0.6617015818306508,0.7345490508115478,0.7980241457393428,0.6709338471568953,0.7919452711056488,0.9150797024921015,0.7858684288114591,0.8006135824765035,0.8142128831822952,0.19055220250975896,0.00883421501373764
1955,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.673024934514939,0.12937896942581195,0.05857435984146656,0.06078622088616076,0.03414834233553244,0.044087172996089115,0.657310266809791,0.7301868630403744,0.7939339772588216,0.6709338471568946,0.7919452711056487,0.9150797024921024,0.787646636016333,0.8024103865140387,0.8160865714338007,0.1884170686605416,0.009172544825419687
1956,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6756566758717567,0.12687679336921867,0.055091049599034055,0.06277546914949145,0.03383723368643272,0.045762778324066444,0.6528918513266224,0.725779751956219,0.789782798694393,0.6709338471568943,0.7919452711056496,0.9150797024921022,0.7891972973025252,0.8039828993786692,0.8177383744022672,0.1864959381836649,0.009521162437665898
1957,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6780159754132957,0.12437341271412117,0.05180115510272661,0.06480419668452665,0.033516247732921785,0.047489012352407996,0.6484469363060844,0.7213281282617834,0.7855705809192528,0.6709338471568944,0.7919452711056488,0.9150797024921025,0.7905275196009822,0.8053387151738705,0.8191763007851233,0.1847809712356889,0.009880313590440741
1958,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6801067667407922,0.12187185725615257,0.04869558620347584,0.06687261923203033,0.033186101097387025,0.049267069470161885,0.6439761400955258,0.7168324332645052,0.7812973332293222,0.6709338471568951,0.7919452711056498,0.9150797024921015,0.7916442794206441,0.8064852894123128,0.8204082190841424,0.1832644638056535,0.010250246782033649
1959,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6819329947519402,0.11937497461383784,0.0457654620637483,0.06898093083731416,0.03284748321773814,0.05109815451542136,0.6394800982171859,0.7122931390942663,0.7769631044628854,0.6709338471568952,0.7919452711056498,0.9150797024921016,0.7925543966343205,0.8074299119796429,0.821441829654953,0.18193887533564954,0.010631212684707606
