year,private_wages,government_wages,supplements,proprietors,rental,interest,dividends,transfers,employee_comp,resource_total,employee_comp_share,proprietors_share,rental_share,interest_share,dividends_share,transfers_share
1960,223.673,49.182,28.428,50.587,16.463,31.143,13.366,24.428,301.283,437.27,0.6890090790587052,0.11568824753584743,0.03764950716948339,0.07122144212957669,0.0305669266128479,0.05586479749353947
1961,228.048,52.471,29.903,53.199,17.2,33.41,13.901,28.089,310.422,456.221,0.680420234930001,0.11660795973881079,0.037701026476203416,0.07323205200988117,0.030469881921261845,0.06156884492384173
1962,243.011,56.347,32.844,55.234,18.046,37.054,15.027,28.843,332.202,486.40599999999995,0.6829726606990868,0.11355534265613501,0.037100693659206506,0.0761791589741903,0.030893944564828562,0.05929819944655289
1963,254.825,60.026,35.557,56.398,18.728,40.464,16.236,30.341,350.408,512.575,0.6836228844559332,0.11002877627664244,0.036537092132858606,0.07894259376676582,0.03167536458079305,0.059193288787006776
1964,272.863,64.925,38.187,59.132,18.831,44.944,18.194,31.317,375.975,548.393,0.6855940903694978,0.10782778044212817,0.03433851270895143,0.08195582365201598,0.033176936977678415,0.0571068558497282
1965,293.847,69.91,41.658,63.662,19.336,49.278,20.205,33.913,405.41499999999996,591.809,0.6850436542871094,0.10757186862653323,0.032672703524278944,0.0832667296374337,0.034141082680391815,0.057303961244252785
1966,321.932,78.389,48.928,67.933,19.91,54.296,20.67,37.504,449.249,649.562,0.691618352058772,0.10458278039663652,0.03065142357465492,0.08358863357154513,0.031821442756811515,0.057737367641580016
1967,342.526,86.483,52.781,69.475,20.345,59.456,21.51,45.752,481.79,698.328,0.6899193502193812,0.09948763331844061,0.02913387405345339,0.08514050703967191,0.03080214455098464,0.0655164908180683
1968,375.283,96.689,58.779,73.832,20.096,65.302,23.535,53.306,530.751,766.822,0.6921436787155297,0.09628310090216503,0.026206864174475954,0.08515926773097278,0.030691607700352886,0.06951548077650353
1969,412.733,105.6,66.125,77.005,20.348,76.109,24.239,58.973,584.458,841.132,0.6948469443559394,0.09154924554053347,0.02419120898978995,0.09048401439964239,0.02881711788399443,0.07011146883010039
1970,434.328,117.232,71.787,77.803,20.664,90.621,24.307,71.737,623.347,908.4789999999999,0.6861435432189407,0.08564094492002568,0.02274571013749355,0.09975024188781469,0.02675570926790823,0.0789638505678172
1971,457.769,126.78,80.446,83.904,21.828,100.099,25.027,85.412,664.995,981.2650000000001,0.6776915512119559,0.08550595404911006,0.022244755494183525,0.10201016035423661,0.02550483304713813,0.08704274584337564
1972,500.898,137.887,92.548,95.094,22.719,109.758,26.836,94.808,731.3330000000001,1080.5480000000002,0.6768167633460058,0.08800534543583438,0.021025442645768624,0.10157623724258429,0.024835546407933746,0.08774066492187296
1973,559.963,148.799,103.921,112.521,23.117,125.508,29.88,108.628,812.683,1212.337,0.6703441369850133,0.09281330191192713,0.01906813039608624,0.10352566984262626,0.024646612286847634,0.08960214857749949
1974,611.77,160.512,115.433,112.213,23.181,147.41,33.187,128.556,887.7149999999999,1332.262,0.6663216394372878,0.08422742673738348,0.017399730683604276,0.11064640438592409,0.02491026539824749,0.0964945333575528
1975,638.598,176.24,132.392,118.238,22.292,168.038,32.922,163.134,947.23,1451.854,0.6524278612036748,0.08143931827855969,0.01535416095557818,0.11574028793528826,0.022675833795960196,0.11236253783093891
1976,710.839,188.906,148.602,130.974,20.308,181.044,38.971,177.643,1048.3470000000002,1597.2870000000003,0.6563297641563476,0.081997787498427,0.012714058275062652,0.11334469009013408,0.02439824527464381,0.1112154547053848
1977,791.57,202.588,171.667,144.492,15.867,206.851,44.723,189.482,1165.825,1767.2399999999998,0.6596868563409611,0.0817613906430366,0.008978407007537178,0.11704748647608702,0.025306692922296918,0.10721916661008127
1978,900.552,220.018,196.195,165.974,16.545,235.079,50.728,203.427,1316.7649999999999,1988.5179999999998,0.6621840989118529,0.08346617933556548,0.008320266650842489,0.11821819063242074,0.025510455525170003,0.10230080894414836
1979,1016.178,237.136,223.917,179.438,16.093,269.481,57.657,227.334,1477.231,2227.234,0.6632581039980532,0.0805654008514597,0.0072255542075956095,0.12099357319437473,0.02588726644797987,0.1020701013005369
