year,owner_occupied_real_estate_market_value_b,owner_occupied_residential_structures_current_cost_b,market_value_series_id,structures_series_id,snapshot_note
1945,89.677,102.946,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1946,106.754,129.012,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1947,149.358,155.026,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1948,169.889,170.531,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1949,185.382,182.098,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1950,212.015,209.093,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1951,238.107,230.97,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1952,259.73,246.477,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1953,278.545,259.3,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1954,299.779,277.174,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1955,328.778,303.275,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1956,354.743,321.804,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1957,375.232,335.577,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1958,394.533,347.883,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1959,418.727,365.964,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1960,440.752,374.461,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1961,464.266,381.666,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1962,484.026,388.676,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1963,499.628,400.932,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1964,525.958,433.794,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1965,551.656,461.79,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1966,593.963,496.122,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1967,628.853,530.712,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1968,709.959,587.54,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1969,774.881,627.482,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1970,815.704,662.218,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1971,898.91,741.278,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1972,1036.675,825.257,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1973,1185.999,945.589,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1974,1187.185,1068.344,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1975,1309.585,1157.381,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1976,1465.149,1297.729,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1977,1731.515,1525.65,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1978,2024.862,1778.531,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1979,2378.107,2074.957,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1980,2671.308,2338.531,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1981,2963.63,2509.469,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1982,3107.702,2608.923,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1983,3282.426,2720.724,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1984,3763.349,2887.002,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1985,4372.355,3046.413,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1986,4856.595,3297.809,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1987,5344.196,3534.331,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1988,5890.689,3779.939,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1989,6421.354,4017.703,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1990,6520.742,4184.18,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1991,6681.254,4283.892,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1992,6951.899,4539.926,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1993,7271.709,4853.047,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1994,7590.144,5236.658,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1995,7896.617,5484.922,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1996,8268.33,5802.519,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1997,8679.485,6129.543,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1998,9490.216,6546.662,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
1999,10418.425,7071.3,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2000,11952.508,7595.948,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2001,13666.517,8188.531,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2002,15092.024,8777.047,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2003,16676.623,9574.002,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2004,19347.648,10759.96,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2005,22074.978,12053.364,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2006,22863.405,12914.667,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2007,22042.249,13073.488,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2008,19812.548,12787.654,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2009,18403.337,12496.138,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2010,17855.488,12528.761,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2011,17208.566,12641.102,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2012,17595.001,13023.073,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2013,19294.505,14006.521,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2014,20619.682,14658.314,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2015,22107.468,15121.484,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2016,23793.108,16177.487,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2017,25598.264,16928.824,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2018,26577.03,17912.468,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2019,27357.359,18608.464,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2020,30884.864,20034.188,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2021,37515.783,23642.012,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2022,40098.741,26517.95,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2023,42898.669,26996.16,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2024,44998.946,27911.336,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
2025,45992.696,28951.762,BOGZ1FL155035013A,BOGZ1LM155012665A,Archived project snapshot of the two FRED/Federal Reserve annual series used by D2.
