year,labor_origin_financing_central,lower,upper,tier,note
1950,0.7222281718974178,0.6281532402397156,0.9217586060956198,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1951,0.7251928704668383,0.6321124589052102,0.9255996234190212,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1952,0.7279237782820627,0.6357716675813144,0.9291555864435076,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1953,0.7304275540586066,0.6391387019794668,0.9324353480452333,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1954,0.7327109134223988,0.6422214598967032,0.9354478251113059,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1955,0.7347805784530186,0.6450278401427206,0.9382019345311118,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1956,0.7366432340114865,0.6475656897967731,0.9407065377885108,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1957,0.7383054905206781,0.6498427593865685,0.9429703937245522,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1958,0.7397738528010823,0.6518666655017424,0.9438691307758392,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1959,0.741054694521052,0.6536448603015376,0.9439164501121377,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1960,0.7461767238990433,0.6752613953236739,0.928239299268862,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1961,0.7469527712551869,0.6720155882168384,0.9330283315973756,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1962,0.7443637793166836,0.6699658508622947,0.9318858704703483,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1963,0.7400085879684308,0.6666173965489643,0.9284684351984013,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1964,0.741603996145457,0.6664712505097394,0.9319173653732005,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1965,0.7406683441308507,0.6658461628394865,0.9319423484646651,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1966,0.7450923000672034,0.6725485446394177,0.9327538545017264,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1967,0.7470160281288138,0.6703840441615554,0.9347997106403811,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1968,0.7481780763675464,0.6746465484222167,0.9336840448027126,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1969,0.7459558814826316,0.6721345927869092,0.9321978880127888,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1970,0.74745886599208,0.6686700215994569,0.9402536890943866,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1971,0.7445309762204673,0.6612236556975833,0.9391584204453933,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1972,0.7411333291614561,0.6593209794100356,0.9357393890595582,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1973,0.7426916986441785,0.6580003216908353,0.9388362283811627,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1974,0.7383872244483053,0.6527279573840801,0.9397896339293331,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1975,0.7369883274974625,0.6489564516884568,0.941187805303171,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1976,0.7329447463661849,0.6497420419522696,0.9323906391163471,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1977,0.7277274508903315,0.6465530680391186,0.9251582044576552,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1978,0.7259842943079035,0.6442025407656868,0.9251930229931815,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1979,0.7244153386870235,0.6439893846743139,0.9240439609875089,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1980,0.7205572798705123,0.6371421572554299,0.9257654694397197,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
1981,0.7122926034016857,0.6251992670386312,0.9191509432862585,WEAK_LONGRUN_EXTENSION,2004–2023 uses actual annual BEA DPI-ranked source profiles. Outer years use the earlier aggregate strong/weak extension.
