year,owner_occupied_real_estate_market_value_b,owner_occupied_residential_structures_current_cost_b,land_site_residual_b,land_site_residual_share_property_value,structure_share_property_value
1945,89.677,102.946,-13.268999999999991,-0.14796436098442176,1.1479643609844217
1946,106.754,129.012,-22.257999999999996,-0.20849804222792584,1.208498042227926
1947,149.358,155.026,-5.668000000000006,-0.0379490887665877,1.0379490887665876
1948,169.889,170.531,-0.6419999999999959,-0.0037789380124669393,1.0037789380124669
1949,185.382,182.098,3.283999999999992,0.01771477273953238,0.9822852272604676
1950,212.015,209.093,2.921999999999997,0.01378204372332145,0.9862179562766785
1951,238.107,230.97,7.1370000000000005,0.029973919288387156,0.9700260807116129
1952,259.73,246.477,13.253000000000014,0.05102606552958847,0.9489739344704116
1953,278.545,259.3,19.245000000000005,0.06909117018794092,0.9309088298120591
1954,299.779,277.174,22.605000000000018,0.07540554875424903,0.924594451245751
1955,328.778,303.275,25.503000000000043,0.07756905875697291,0.922430941243027
1956,354.743,321.804,32.93900000000002,0.09285313593221015,0.9071468640677899
1957,375.232,335.577,39.65500000000003,0.10568128517823647,0.8943187148217635
1958,394.533,347.883,46.650000000000034,0.1182410596832205,0.8817589403167795
1959,418.727,365.964,52.76299999999998,0.12600811507258902,0.873991884927411
1960,440.752,374.461,66.291,0.15040430899916504,0.849595691000835
1961,464.266,381.666,82.60000000000002,0.1779152468627899,0.8220847531372101
1962,484.026,388.676,95.35000000000002,0.1969935499332681,0.8030064500667319
1963,499.628,400.932,98.69599999999997,0.1975389689929307,0.8024610310070693
1964,525.958,433.794,92.16399999999999,0.17523072184471003,0.82476927815529
1965,551.656,461.79,89.86599999999993,0.16290224342706314,0.8370977565729368
1966,593.963,496.122,97.84099999999995,0.16472574891028557,0.8352742510897144
1967,628.853,530.712,98.14099999999996,0.1560634997368224,0.8439365002631776
1968,709.959,587.54,122.41899999999998,0.17243108404851545,0.8275689159514845
1969,774.881,627.482,147.399,0.19022146626385214,0.8097785337361478
1970,815.704,662.218,153.486,0.18816384374724165,0.8118361562527584
1971,898.91,741.278,157.63199999999995,0.17535904595565735,0.8246409540443427
1972,1036.675,825.257,211.418,0.20393855354860493,0.7960614464513951
1973,1185.999,945.589,240.40999999999997,0.20270674764481247,0.7972932523551876
1974,1187.185,1068.344,118.8409999999999,0.10010318526598626,0.8998968147340137
