year,real_wage_durables_1950_100,real_wage_shelter_1950_100,wage_member,durables_member,shelter_member
1950,100.0,100.0,AHEMAN,CUUR0000SAD,CUUR0000SEHA
1951,102.1303207686771,105.78322374750962,AHEMAN,CUUR0000SAD,CUUR0000SEHA
1952,107.09565065414962,107.32608481538236,AHEMAN,CUUR0000SAD,CUUR0000SEHA
1953,114.88192008214257,108.52181588036481,AHEMAN,CUUR0000SAD,CUSR0000SAH1
1954,120.46545753284512,108.34784104635277,AHEMAN,CUUR0000SAD,CUSR0000SAH1
1955,128.49146110056927,111.91669612596304,AHEMAN,CUUR0000SAD,CUSR0000SAH1
1956,135.3166426370891,116.3037409911209,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1957,137.83180246984566,118.01392817124362,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1958,139.51704984979088,118.75404890802767,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1959,143.69736787016683,122.75284348093163,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1960,149.51575061061018,124.43111621496062,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1961,153.42695345821838,126.4470373370321,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1962,156.91144153067063,129.40552472710385,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1963,161.02697595235816,131.31405203560095,AHEMAN,CUSR0000SAD,CUSR0000SAH1
1964,164.28054974485966,132.98459579194434,AHETPI,CUSR0000SAD,CUSR0000SAH1
1965,171.0417131519043,135.41138338749323,AHETPI,CUSR0000SAD,CUSR0000SAH1
1966,177.7198588060446,136.6415184425457,AHETPI,CUSR0000SAD,CUSR0000SAH1
1967,182.6731639217277,138.00693773712916,AHETPI,CUSR0000SAD,CUSR0000SAH1
1968,187.74647681132743,139.550525346858,AHETPI,CUSR0000SAD,CUSR0000SAH1
1969,192.48971082625562,137.26720379740544,AHETPI,CUSR0000SAD,CUSR0000SAH1
1970,194.91803954703659,133.17091508175437,AHETPI,CUSR0000SAD,CUSR0000SAH1
1971,199.2583547331451,136.1579450545667,AHETPI,CUSR0000SAD,CUSR0000SAH1
1972,209.89756970845607,140.17176061757002,AHETPI,CUSR0000SAD,CUSR0000SAH1
1973,217.35638861237825,142.23896346262163,AHETPI,CUSR0000SAD,CUSR0000SAH1
1974,217.45856326838697,138.92153427944558,AHETPI,CUSR0000SAD,CUSR0000SAH1
1975,208.4277224166871,135.03153159865622,AHETPI,CUSR0000SAD,CUSR0000SAH1
1976,209.747218771125,136.6552319075514,AHETPI,CUSR0000SAD,CUSR0000SAH1
1977,213.20514156868637,137.6029539854983,AHETPI,CUSR0000SAD,CUSR0000SAH1
1978,216.3340412346831,135.06597366659054,AHETPI,CUSR0000SAD,CUSR0000SAH1
1979,212.332528401391,127.92509952556158,AHETPI,CUSR0000SAD,CUSR0000SAH1
1980,208.296488811879,117.51611312395335,AHETPI,CUSR0000SAD,CUSR0000SAH1
1981,209.44598328537435,114.24251271985807,AHETPI,CUSR0000SAD,CUSR0000SAH1
1982,208.79013467809244,112.87727091383891,AHETPI,CUSR0000SAD,CUSR0000SAH1
1983,207.28393570081545,114.93135277163896,AHETPI,CUSR0000SAD,CUSR0000SAH1
1984,203.84155191401211,113.49909794088731,AHETPI,CUSR0000SAD,CUSR0000SAH1
1985,206.50726534801225,110.58179995366963,AHETPI,CUSR0000SAD,CUSR0000SAH1
1986,211.36251941465812,107.12369359999448,AHETPI,CUSR0000SAD,CUSR0000SAH1
1987,213.27856809202711,104.76509166130433,AHETPI,CUSR0000SAD,CUSR0000SAH1
1988,215.7869569103677,103.18684157199854,AHETPI,CUSR0000SAD,CUSR0000SAH1
1989,220.64535249004538,102.57375874552137,AHETPI,CUSR0000SAD,CUSR0000SAH1
1990,226.93452446738877,101.2455382613377,AHETPI,CUSR0000SAD,CUSR0000SAH1
1991,228.80235699172866,99.88562312933894,AHETPI,CUSR0000SAD,CUSR0000SAH1
1992,229.28135448659717,98.99119521025105,AHETPI,CUSR0000SAD,CUSR0000SAH1
1993,229.95254265553876,98.58068873587898,AHETPI,CUSR0000SAD,CUSR0000SAH1
1994,229.25544293285552,98.1249778591126,AHETPI,CUSR0000SAD,CUSR0000SAH1
1995,229.68804714564595,97.688370749323,AHETPI,CUSR0000SAD,CUSR0000SAH1
1996,234.9024783657533,97.8226494478133,AHETPI,CUSR0000SAD,CUSR0000SAH1
1997,245.14365694100013,98.55275907093355,AHETPI,CUSR0000SAD,CUSR0000SAH1
1998,257.39629504874,99.24604126756226,AHETPI,CUSR0000SAD,CUSR0000SAH1
1999,270.2326354495529,100.08952253169457,AHETPI,CUSR0000SAD,CUSR0000SAH1
2000,282.00856703524573,100.69169813039916,AHETPI,CUSR0000SAD,CUSR0000SAH1
2001,294.40573607562186,100.73789409263563,AHETPI,CUSR0000SAD,CUSR0000SAH1
2002,310.9847747087224,99.91413963640728,AHETPI,CUSR0000SAD,CUSR0000SAH1
2003,329.96585020590595,100.15888360446608,AHETPI,CUSR0000SAD,CUSR0000SAH1
2004,344.93578402058137,99.59579788280153,AHETPI,CUSR0000SAD,CUSR0000SAH1
2005,352.9944123438463,99.79849347156895,AHETPI,CUSR0000SAD,CUSR0000SAH1
2006,369.1493105583027,100.2141348549914,AHETPI,CUSR0000SAD,CUSR0000SAH1
2007,390.68865532107844,100.54740800738638,AHETPI,CUSR0000SAD,CUSR0000SAH1
2008,411.2818687840341,101.78469013708279,AHETPI,CUSR0000SAD,CUSR0000SAH1
2009,427.49344526147536,103.69571209964475,AHETPI,CUSR0000SAD,CUSR0000SAH1
2010,431.98298854494914,106.59212290719854,AHETPI,CUSR0000SAD,CUSR0000SAH1
2011,435.89537075956423,107.34583236798467,AHETPI,CUSR0000SAD,CUSR0000SAH1
2012,441.39298169174924,106.62577074396455,AHETPI,CUSR0000SAD,CUSR0000SAH1
2013,454.131524014954,106.36322748327633,AHETPI,CUSR0000SAD,CUSR0000SAH1
2014,471.0456430353964,105.81074457056091,AHETPI,CUSR0000SAD,CUSR0000SAH1
2015,486.3113746153731,104.80689592728389,AHETPI,CUSR0000SAD,CUSR0000SAH1
2016,506.7562663542166,103.85271401025703,AHETPI,CUSR0000SAD,CUSR0000SAH1
2017,528.5267540088512,102.86617507952616,AHETPI,CUSR0000SAD,CUSR0000SAH1
2018,548.7849322849089,102.54360849996185,AHETPI,CUSR0000SAD,CUSR0000SAH1
2019,566.2606175526777,102.71071515530552,AHETPI,CUSR0000SAD,CUSR0000SAH1
2020,589.3466233074492,105.26050101186338,AHETPI,CUSR0000SAD,CUSR0000SAH1
2021,559.3828022502063,107.6204738390134,AHETPI,CUSR0000SAD,CUSR0000SAH1
2022,543.2272986747041,108.14237769458917,AHETPI,CUSR0000SAD,CUSR0000SAH1
2023,577.3625103756913,105.58004134840034,AHETPI,CUSR0000SAD,CUSR0000SAH1
2024,618.927124771589,104.50492482623075,AHETPI,CUSR0000SAD,CUSR0000SAH1
