year,tier,minimum_intertemporal_share_pce_headline,weak_lower,weak_upper,note
1950,WEAK_ESTIMATE,0.08697610788106351,0.05651035695898833,0.11553017368580497,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1951,WEAK_ESTIMATE,0.08642890644395312,0.05646283017442141,0.1145751734555294,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1952,WEAK_ESTIMATE,0.0858860541033325,0.05641532936029013,0.1136290416052302,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1953,WEAK_ESTIMATE,0.08534752327560256,0.05636785450533409,0.1126917160410112,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1954,WEAK_ESTIMATE,0.08481328638475542,0.05632040559829407,0.11176313468119937,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1955,WEAK_ESTIMATE,0.08428331586637171,0.05627298262791247,0.11084323546677814,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1956,WEAK_ESTIMATE,0.08375758417153385,0.05622558558293281,0.1099319563715946,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1957,WEAK_ESTIMATE,0.08323606377065841,0.056178214452100084,0.10902923541234702,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1958,WEAK_ESTIMATE,0.08271872715724703,0.05613086922416066,0.10813501065835254,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1959,WEAK_ESTIMATE,0.08220554685155679,0.05608354988786224,0.10724922024109589,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1960,WEAK_ESTIMATE,0.08458586617257847,0.0717607007311381,0.09757044282998385,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1961,WEAK_ESTIMATE,0.07998745113297559,0.06697166840262425,0.09346175629672278,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1962,WEAK_ESTIMATE,0.08095848091377278,0.06811412952965168,0.09399987520688208,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1963,WEAK_ESTIMATE,0.0835112204777684,0.07153156480159868,0.09554677100822336,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1964,WEAK_ESTIMATE,0.0794430629814267,0.06808263462679953,0.09140748064287937,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1965,WEAK_ESTIMATE,0.07943202998275145,0.06805765153533477,0.09119393970249844,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1966,WEAK_ESTIMATE,0.0787285655676313,0.06724614549827361,0.09021649941377433,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1967,WEAK_ESTIMATE,0.07632725961210628,0.06520028935961888,0.0881603325577763,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1968,WEAK_ESTIMATE,0.07791895976921037,0.06631595519728735,0.08942435805384162,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1969,WEAK_ESTIMATE,0.07960700630815858,0.06780211198721134,0.09162441973208624,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1970,WEAK_ESTIMATE,0.07076244172350732,0.059746310905613484,0.08190870833928855,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1971,WEAK_ESTIMATE,0.07141661336581587,0.06084157955460663,0.08321356312021866,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1972,WEAK_ESTIMATE,0.07639173327314712,0.06426061094044183,0.08858805902355138,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
1973,WEAK_ESTIMATE,0.07242667127865818,0.06116377161883732,0.08455301826560425,"2000–2023 is the BEA distributional hard floor. Outside the window this is a predictive extension, not a hard bound."
