year,transfer_wage_exposure_low,transfer_wage_exposure_high
1960,0.6709338471568955,0.9150797024921031
1961,0.6896692639157121,0.919914648752442
1962,0.6893937822828875,0.9198435567181653
1963,0.6872313034199338,0.9192854976567568
1964,0.684639040319574,0.9186165265340831
1965,0.6862423837087739,0.9190302925700065
1966,0.6812947895466063,0.9176071437517623
1967,0.6674343813014257,0.9136173643785165
1968,0.6653835861808064,0.9130457187290141
1969,0.6546321467357844,0.9102546417992234
1970,0.655444931927059,0.9105319518173742
1971,0.6566158631837362,0.9108863145353893
1972,0.6525814772465077,0.9098652261678947
1973,0.6635002467475373,0.9126920268016003
1974,0.6622734329913428,0.9123675521783603
1975,0.6712303342050403,0.914709218450069
1976,0.6742785926603848,0.9154658658617688
1977,0.6782101805173688,0.9164498227048101
1978,0.6734967547064047,0.9152142174671314
1979,0.6762815720614224,0.9159277616228854
1980,0.679741708605371,0.9168348314124721
1981,0.6879340137261404,0.9188660686028939
1982,0.7061926376424222,0.9234969255093481
1983,0.704477515416125,0.9229703577824503
1984,0.6964032865344628,0.9207687529817692
1985,0.6954074020438411,0.9204422717311396
1986,0.6930207230327227,0.9197589861991766
1987,0.6887274386013363,0.9185649784652423
1988,0.6835017821153838,0.9171653456876172
1989,0.6767766535562627,0.9153436187378226
1990,0.6695208220588531,0.9134286230374346
1991,0.6587177776576973,0.9106779094583239
1992,0.652355622133437,0.9090388968014728
1993,0.6461594373965007,0.9073944038696806
1994,0.6403449000959426,0.9058163366310802
1995,0.6376043325451282,0.9050617262257513
1996,0.6380878468340562,0.9051505420812087
1997,0.6411232965715548,0.9058889778640586
1998,0.6398021604858617,0.905567128763112
1999,0.6353326527305674,0.9044274647378874
2000,0.6348133689591794,0.9042852869909994
2001,0.6282317063810834,0.9025232797269215
2002,0.6237732652005799,0.9013435472312034
2003,0.6142084952576052,0.8988062175780047
2004,0.5985768138208578,0.8946696263969317
2005,0.5923472085162321,0.8929591382150454
2006,0.5958597626491091,0.8936222781791487
2007,0.5905970671918804,0.8921804899410198
2008,0.5699308872430173,0.8868879221817098
2009,0.5909507983421128,0.8922877595858887
2010,0.5734021517697231,0.8877739905600919
2011,0.5688843777562888,0.8863570330938102
2012,0.5774589438362644,0.8882841797785243
2013,0.575113053638019,0.8874582521629356
2014,0.5649487403165195,0.88463803381385
2015,0.5611455799052607,0.8834546695584524
2016,0.5572003592451791,0.8824813055624846
2017,0.5606878886585439,0.8829424766768131
2018,0.559735857540647,0.8826012454068778
2019,0.5626613530857556,0.8838673227501282
2020,0.5742354744741297,0.8876407547577267
2021,0.5194983203337482,0.8737037795691218
2022,0.5296020404415379,0.875518495198836
2023,0.5539943104175743,0.8818454744664698
2024,0.5506876058494599,0.8808549355072861
2025,0.5471543277507549,0.8801421741102244
