year,pce_b,dpi_b,minimum_intertemporal_share_pce,current_labor_origin_share_pce_central,current_ownership_property_origin_share_pce_central,current_fiscal_nonlabor_unresolved_share_pce_central,labor_financing_capacity_lower_share_pce,labor_financing_capacity_upper_share_pce,tier
1950,192.044,220.07984457962408,0.08697610788106351,0.7222281718974178,0.18387592628784585,0.00691979393367282,0.6281532402397156,0.9217586060956198,WEAK
1951,208.339,238.9042329779148,0.08642890644395312,0.7251928704668383,0.1811806099339517,0.007197613155256784,0.6321124589052102,0.9255996234190211,WEAK
1952,219.32,251.65550195020893,0.0858860541033325,0.7279237782820626,0.17870590280888246,0.0074842648057223005,0.6357716675813144,0.9291555864435076,WEAK
1953,232.74,267.2239204301192,0.08534752327560256,0.7304275540586066,0.17644495221088166,0.0077799704549092585,0.639138701979467,0.9324353480452333,WEAK
1954,239.608,275.2852320430388,0.08481328638475542,0.7327109134223987,0.17439084398705285,0.008084956205792972,0.6422214598967031,0.9354478251113059,WEAK
1955,258.288,296.9370036813905,0.08428331586637171,0.7347805784530186,0.1725366533480093,0.00839945233260035,0.6450278401427204,0.9382019345311117,WEAK
1956,271.128,311.89912343780577,0.08375758417153385,0.7366432340114865,0.1708754889435974,0.00872369287338225,0.6475656897967733,0.9407065377885108,WEAK
1957,286.296,329.56111106121875,0.08323606377065841,0.738305490520678,0.16940053053031087,0.009057915178352678,0.6498427593865685,0.9429703937245522,WEAK
1958,295.606,340.49914405877007,0.08271872715724703,0.7397738528010822,0.16810506062649444,0.009402359415176167,0.6518666655017423,0.9450021189587843,WEAK
1959,317.13,365.53033184245254,0.08220554685155679,0.741054694521052,0.16698249059512524,0.00975726803226602,0.6536448603015376,0.9468101554032932,WEAK
1960,331.18,376.07,0.08458586617257847,0.7461767238990435,0.1585976106807082,0.010639799247669893,0.6752613953236741,0.9419428827348318,WEAK
1961,341.475,393.326,0.07998745113297559,0.7469527712551868,0.16194568718044303,0.011114090431394613,0.672015588216838,0.9521447164685434,WEAK
1962,362.557,417.282,0.08095848091377278,0.7443637793166836,0.1639753402052604,0.010702399564283227,0.6699658508622944,0.9486385491576652,WEAK
1963,382.035,438.222,0.0835112204777684,0.7400085879684309,0.165752228228092,0.010727963325708757,0.6666173965489643,0.9423804191906423,WEAK
1964,410.632,476.124,0.0794430629814267,0.7416039961454569,0.16847101194066638,0.010481928932449976,0.6664712505097394,0.9500828981897174,WEAK
1965,442.973,512.995,0.07943202998275145,0.7406683441308506,0.16943486862620843,0.010464757260189436,0.6658461628394865,0.9477121037360848,WEAK
1966,479.919,553.961,0.0787285655676313,0.7450923000672036,0.16545726178916995,0.010721872575995287,0.6725485446394177,0.9494015967689707,WEAK
1967,506.685,592.762,0.07632725961210628,0.7470160281288141,0.16391692571729524,0.01273978654178457,0.6703840441615554,0.9632913499933279,WEAK
1968,556.852,643.928,0.07791895976921037,0.7481780763675464,0.16032451982331752,0.013578444039925665,0.6746465484222164,0.9556322822702946,WEAK
1969,603.639,695.83,0.07960700630815858,0.7459558814826317,0.16032818823858683,0.01410892397062307,0.6721345927869092,0.9516040594736753,WEAK
1970,646.724,761.975,0.07076244172350732,0.7474588659920799,0.1657756022956687,0.016003089988744067,0.6686700215994569,0.9663181218324286,WEAK
1971,699.937,831.08,0.07141661336581587,0.744530976220467,0.16648617079354863,0.017566239620168244,0.6612236556975831,0.9719347924701943,WEAK
1972,768.153,900.816,0.07639173327314712,0.7411333291614559,0.1646567291739256,0.017818208391471274,0.6593209794100353,0.9611336350527704,WEAK
1973,849.575,1008.373,0.07242667127865818,0.7426916986441784,0.16718136805239375,0.017700262024769674,0.6580003216908357,0.9709220097614275,WEAK
1974,930.161,1100.771,0.07243005755349788,0.7383872244483053,0.17005121908057205,0.019131498917624796,0.6527279573840798,0.9629764647116736,WEAK
1975,1030.547,1221.782,0.07070673634290628,0.7369883274974625,0.17057870944158798,0.021726226718043414,0.6489564516884568,0.9628888994963203,WEAK
1976,1147.666,1329.976,0.07944544590968529,0.7329447463661848,0.16650349314829824,0.021106314575831616,0.6497420419522694,0.9445431817338759,WEAK
1977,1273.975,1461.357,0.08585484595886587,0.7277274508903318,0.16645371881004964,0.019963984340752937,0.6465530680391186,0.9340343821147906,WEAK
1978,1422.252,1634.072,0.08678420230790972,0.7259842943079035,0.16792341498103353,0.019308088403153296,0.6442025407656866,0.9339136586761071,WEAK
1979,1585.42,1813.796,0.08743977603276366,0.7244153386870235,0.16905792281080667,0.019086962469406242,0.6439893846743138,0.9282406154769944,WEAK
1980,1750.667,2024.946,0.0795649105832292,0.7205572798705123,0.17946713067123077,0.020410678875027642,0.6371421572554299,0.9257654694397197,WEAK
