year,wage_direct_med,wagetax_med,ownertax_med,borrowed_med,wage_direct_min,wagetax_min,ownertax_min,borrowed_min,wage_direct_max,wagetax_max,ownertax_max,borrowed_max
1960,0.9203,0.0606,0.0183,0.0,0.9181,0.0483,0.0091,0.0,0.9224,0.0717,0.0326,0.0
1961,0.9121,0.063,0.0208,0.0016,0.9097,0.0479,0.0096,0.0,0.9144,0.0765,0.0365,0.0082
1962,0.9147,0.0625,0.019,0.0013,0.9123,0.0472,0.0078,0.0,0.9169,0.0762,0.0351,0.007
1963,0.9143,0.0657,0.0192,0.0,0.9119,0.0517,0.0088,0.0,0.9165,0.0783,0.0352,0.0
1964,0.9183,0.0601,0.0175,0.0014,0.9162,0.044,0.0057,0.0,0.9203,0.0743,0.034,0.008
1965,0.9179,0.0608,0.0186,0.0008,0.9158,0.046,0.0077,0.0,0.9199,0.0739,0.0345,0.0046
1966,0.9164,0.0653,0.0153,0.0009,0.9142,0.048,0.0031,0.0,0.9184,0.0803,0.0335,0.0052
1967,0.905,0.0625,0.0149,0.0063,0.9026,0.0387,0.0,0.0,0.9072,0.0885,0.0372,0.033
1968,0.8986,0.0735,0.0187,0.004,0.8961,0.0506,0.0029,0.0,0.901,0.0931,0.0395,0.0201
1969,0.8962,0.081,0.0204,0.0007,0.8937,0.0633,0.0078,0.0,0.8986,0.0965,0.0391,0.0037
1970,0.8843,0.0727,0.0186,0.0121,0.8816,0.0387,0.0,0.0,0.8868,0.1025,0.0436,0.0551
1971,0.8736,0.0767,0.0189,0.0186,0.8708,0.0303,0.0,0.0,0.8763,0.1091,0.0485,0.079
1972,0.8708,0.0812,0.0216,0.0143,0.8677,0.0444,0.0,0.0,0.8736,0.1134,0.0485,0.0599
1973,0.8671,0.0915,0.0228,0.0103,0.8638,0.0591,0.0002,0.0,0.8702,0.1203,0.049,0.041
1974,0.8554,0.0964,0.0248,0.0133,0.852,0.0612,0.0,0.0,0.8585,0.1291,0.0523,0.0503
1975,0.8346,0.0998,0.0241,0.0327,0.8309,0.0348,0.0,0.0,0.838,0.1394,0.0605,0.1126
1976,0.8352,0.1027,0.0287,0.0238,0.8316,0.0542,0.0,0.0,0.8387,0.1408,0.0603,0.0809
1977,0.8401,0.1017,0.029,0.0182,0.8365,0.0626,0.0011,0.0,0.8435,0.1385,0.0583,0.0629
1978,0.8461,0.1057,0.0276,0.0125,0.8425,0.0717,0.004,0.0,0.8495,0.1369,0.0546,0.0443
1979,0.8447,0.1136,0.0272,0.0097,0.8411,0.0809,0.006,0.0,0.8481,0.1404,0.0529,0.034
1980,0.832,0.1111,0.0288,0.0178,0.8284,0.0723,0.0023,0.0,0.8353,0.1479,0.0567,0.0599
1981,0.826,0.1167,0.0297,0.0168,0.8223,0.0786,0.0027,0.0,0.8295,0.1545,0.0581,0.0567
1982,0.8179,0.1161,0.0266,0.0306,0.8143,0.0536,0.0,0.0,0.8213,0.1588,0.0605,0.1029
1983,0.8171,0.1144,0.0255,0.0336,0.8135,0.0466,0.0,0.0,0.8205,0.1589,0.0621,0.1135
1984,0.8284,0.1093,0.0245,0.0257,0.8247,0.054,0.0,0.0,0.8318,0.1534,0.0588,0.0905
1985,0.8298,0.1094,0.0236,0.0242,0.8262,0.0557,0.0,0.0,0.8332,0.1538,0.0576,0.0869
1986,0.83,0.1091,0.0229,0.0247,0.8264,0.0542,0.0,0.0,0.8333,0.1542,0.0576,0.0891
1987,0.8328,0.1094,0.0243,0.019,0.8291,0.0657,0.0,0.0,0.8362,0.1529,0.0568,0.0687
1988,0.8361,0.108,0.0235,0.0167,0.8325,0.0691,0.0,0.0,0.8395,0.152,0.0557,0.0602
1989,0.8316,0.1115,0.0257,0.0166,0.8277,0.0722,0.0,0.0,0.8351,0.1548,0.0581,0.0591
1990,0.8264,0.1125,0.0256,0.0213,0.8226,0.0663,0.0,0.0,0.8299,0.1577,0.0593,0.074
1991,0.813,0.1194,0.0285,0.0278,0.8091,0.0643,0.0,0.0,0.8166,0.1656,0.0635,0.0905
1992,0.8054,0.1227,0.0287,0.035,0.8013,0.0569,0.0,0.0,0.8092,0.1696,0.0656,0.1101
1993,0.8015,0.1262,0.0314,0.0328,0.7973,0.0657,0.0,0.0,0.8055,0.1725,0.0671,0.1005
1994,0.8014,0.1284,0.034,0.0263,0.7971,0.0791,0.0,0.0,0.8055,0.1735,0.0676,0.0796
1995,0.7991,0.1308,0.0357,0.0248,0.7946,0.0836,0.0016,0.0,0.8033,0.1749,0.0692,0.0743
1996,0.7995,0.1379,0.0386,0.0179,0.7948,0.0969,0.0096,0.0,0.804,0.1746,0.0698,0.0529
1997,0.8038,0.144,0.0398,0.0098,0.799,0.1099,0.0162,0.0,0.8083,0.1725,0.0682,0.0289
1998,0.8114,0.146,0.0393,0.002,0.8067,0.1209,0.0211,0.0,0.8158,0.1682,0.0646,0.0059
1999,0.8154,0.146,0.0376,0.0,0.8107,0.1235,0.021,0.0,0.8198,0.1662,0.0619,0.0
2000,0.8191,0.1438,0.0361,0.0,0.8144,0.1216,0.0198,0.0,0.8234,0.1639,0.0602,0.0
2001,0.8117,0.144,0.0362,0.0061,0.8068,0.1165,0.017,0.0,0.8163,0.1682,0.0608,0.0177
2002,0.8052,0.1295,0.0333,0.0257,0.8004,0.0845,0.0026,0.0,0.8097,0.17,0.0626,0.072
2003,0.8039,0.1268,0.0328,0.0314,0.7992,0.0735,0.0,0.0,0.8083,0.1694,0.0648,0.0881
2004,0.8034,0.1275,0.0348,0.028,0.7986,0.0799,0.0016,0.0,0.8078,0.1697,0.0662,0.0779
2005,0.7992,0.1365,0.0395,0.0196,0.7943,0.0961,0.0108,0.0,0.8037,0.173,0.07,0.0548
2006,0.7969,0.1426,0.043,0.0145,0.7918,0.1058,0.017,0.0,0.8016,0.1742,0.0725,0.0402
2007,0.7925,0.142,0.0436,0.0176,0.7876,0.1032,0.0157,0.0,0.7972,0.1766,0.0736,0.0488
2008,0.775,0.1417,0.0423,0.0383,0.77,0.082,0.0037,0.0,0.7798,0.1866,0.0771,0.1015
2009,0.7569,0.1309,0.0384,0.0729,0.752,0.039,0.0,0.0,0.7616,0.193,0.0825,0.1865
2010,0.7476,0.1357,0.0421,0.0739,0.742,0.0466,0.0,0.0,0.7529,0.1988,0.0871,0.1841
2011,0.7535,0.134,0.0457,0.0661,0.7476,0.0542,0.0,0.0,0.7591,0.1919,0.0881,0.1651
2012,0.7608,0.1343,0.0468,0.0573,0.7549,0.0627,0.0006,0.0,0.7663,0.1869,0.0872,0.1432
2013,0.7562,0.1544,0.051,0.0383,0.7499,0.0988,0.0145,0.0,0.762,0.1978,0.0851,0.0943
2014,0.7552,0.1555,0.0534,0.0346,0.749,0.1055,0.0188,0.0,0.761,0.1981,0.0866,0.0835
2015,0.7518,0.1594,0.0556,0.0317,0.7458,0.1138,0.0229,0.0,0.7575,0.2008,0.0869,0.0747
2016,0.7512,0.1583,0.0542,0.0363,0.7453,0.1076,0.0195,0.0,0.7568,0.2008,0.0867,0.0853
2017,0.7539,0.1571,0.0525,0.0369,0.7479,0.106,0.0179,0.0,0.7595,0.1993,0.0845,0.0864
2018,0.7567,0.1536,0.0505,0.0399,0.7508,0.0992,0.0144,0.0,0.7621,0.197,0.0832,0.0942
2019,0.7541,0.1531,0.0502,0.0431,0.7482,0.0958,0.0125,0.0,0.7596,0.1986,0.0842,0.1018
2020,0.6962,0.1499,0.0518,0.1015,0.6894,0.0556,0.0,0.0,0.7026,0.2304,0.1046,0.2222
2021,0.6924,0.1627,0.0597,0.0847,0.6851,0.0837,0.0101,0.0,0.6993,0.2341,0.1088,0.1806
2022,0.7269,0.1773,0.0657,0.0291,0.7198,0.1347,0.0341,0.0,0.7335,0.2186,0.0974,0.0654
2023,0.7384,0.1553,0.0552,0.0516,0.7321,0.0919,0.0125,0.0,0.7443,0.2068,0.0949,0.1191
2024,0.7349,0.1559,0.0555,0.0541,0.7286,0.0902,0.0112,0.0,0.7409,0.2089,0.0965,0.125
2025,0.7259,0.1635,0.0593,0.0521,0.7194,0.1013,0.0174,0.0,0.732,0.2157,0.0985,0.1175
