year,wage_direct_med,wage_direct_min,wage_direct_max,wagetax_med,wagetax_min,wagetax_max,ownertax_med,ownertax_min,ownertax_max
1960,0.9203,0.9181,0.9224,0.0615,0.0478,0.0725,0.0175,0.0084,0.0332
1961,0.9121,0.9097,0.9144,0.0662,0.0522,0.0776,0.021,0.0113,0.0371
1962,0.9147,0.9123,0.9169,0.0654,0.0509,0.0771,0.0191,0.0094,0.0357
1963,0.9143,0.9119,0.9165,0.0667,0.0511,0.079,0.0183,0.0081,0.0358
1964,0.9183,0.9162,0.9203,0.0633,0.0482,0.0751,0.0176,0.0078,0.0347
1965,0.9179,0.9158,0.9199,0.063,0.0482,0.0747,0.0183,0.0086,0.0351
1966,0.9164,0.9142,0.9184,0.0676,0.0506,0.0807,0.0151,0.0046,0.0341
1967,0.905,0.9026,0.9072,0.0757,0.0582,0.0892,0.0185,0.0074,0.038
1968,0.8986,0.8961,0.901,0.0801,0.0623,0.0939,0.0204,0.009,0.0402
1969,0.8962,0.8937,0.8986,0.0831,0.0651,0.0972,0.0198,0.0083,0.0398
1970,0.8843,0.8816,0.8868,0.09,0.0723,0.1039,0.025,0.0131,0.0446
1971,0.8736,0.8708,0.8763,0.0965,0.078,0.111,0.0292,0.0166,0.0497
1972,0.8708,0.8677,0.8736,0.1,0.081,0.115,0.0285,0.0156,0.0495
1973,0.8671,0.8638,0.8702,0.1053,0.0841,0.1218,0.0267,0.013,0.0501
1974,0.8554,0.852,0.8585,0.114,0.0923,0.1308,0.0298,0.0156,0.0535
1975,0.8346,0.8309,0.838,0.1256,0.1049,0.1421,0.0393,0.0246,0.062
1976,0.8352,0.8316,0.8387,0.1258,0.1046,0.1428,0.0383,0.0234,0.0615
1977,0.8401,0.8365,0.8435,0.1231,0.1018,0.1402,0.0361,0.0213,0.0593
1978,0.8461,0.8425,0.8495,0.1212,0.0995,0.1384,0.0319,0.0174,0.0556
1979,0.8447,0.8411,0.8481,0.1244,0.1026,0.1416,0.03,0.0157,0.0538
1980,0.832,0.8284,0.8353,0.1327,0.111,0.1497,0.0347,0.0201,0.0579
1981,0.826,0.8223,0.8295,0.1384,0.1151,0.1564,0.0349,0.0196,0.0595
1982,0.8179,0.8143,0.8213,0.1432,0.1204,0.1611,0.0383,0.0229,0.0621
1983,0.8171,0.8135,0.8205,0.1427,0.1198,0.1609,0.0395,0.0238,0.0635
1984,0.8284,0.8247,0.8318,0.1362,0.1119,0.1551,0.0346,0.0186,0.0604
1985,0.8298,0.8262,0.8332,0.136,0.1118,0.1551,0.0334,0.0173,0.0589
1986,0.83,0.8264,0.8333,0.1361,0.1117,0.1554,0.0331,0.0169,0.0588
1987,0.8328,0.8291,0.8362,0.1344,0.11,0.1539,0.0319,0.0157,0.0578
1988,0.8361,0.8325,0.8395,0.133,0.1078,0.153,0.0299,0.0134,0.0567
1989,0.8316,0.8277,0.8351,0.1353,0.1098,0.1558,0.0321,0.0152,0.0592
1990,0.8264,0.8226,0.8299,0.1387,0.1137,0.1589,0.034,0.0172,0.0604
1991,0.813,0.8091,0.8166,0.1474,0.1228,0.1672,0.0389,0.022,0.0649
