observation_date,bank_labor_productivity,bank_labor_requirement_1987_100
1987,41.91,100.0
1988,44.434,94.3196651213035
1989,47.543,88.15177839008895
1990,50.513,82.96874072021063
1991,53.325,78.59353023909985
1992,55.342,75.72910267066604
1993,56.973,73.56116054973408
1994,58.366,71.80550320392008
1995,62.208,67.3707561728395
1996,65.725,63.76569037656903
1997,66.203,63.3052882799873
1998,69.242,60.526847866901576
1999,76.163,55.026719010543175
2000,79.365,52.8066528066528
2001,78.394,53.46072403500267
2002,82.419,50.849925381283434
2003,84.814,49.41401183766832
2004,86.77,48.30010372248473
2005,90.064,46.5335761236454
2006,95.204,44.02125961094071
2007,98.48,42.55686433793663
2008,99.044,42.31452687694358
2009,111.773,37.495638481565315
2010,107.434,39.0099968352663
2011,105.594,39.68975509972157
2012,108.654,38.571980783036054
2013,105.09,39.88010276905509
2014,101.687,41.214707878096505
2015,102.477,40.89698176176117
2016,100.251,41.805069276116946
2017,100.0,41.91
2018,99.717,42.02894190559282
2019,100.359,41.760081308103906
2020,96.309,43.516182288259664
2021,107.243,39.07947371856438
2022,99.891,41.95573174760488
2023,105.101,39.8759288684218
2024,106.816,39.235695026962254
