,index_share,investment_activity_hours_millions
1987,,432.233
1988,,439.755
1989,,438.245
1990,,438.279
1991,,455.644
1992,,469.904
1993,,512.449
1994,,509.968
1995,,559.945
1996,,573.644
1997,,598.319
1998,,685.37
1999,,754.847
2000,,807.187
2001,,760.004
2002,,749.896
2003,,779.387
2004,,769.288
2005,,797.674
2006,,867.954
2007,,947.897
2008,,981.092
2009,,907.384
2010,0.19,882.49
2011,,914.526
2012,,926.69
2013,,913.016
2014,,956.372
2015,0.28,1005.48
2016,,1014.527
2017,,1022.408
2018,,1086.878
2019,,1096.447
2020,0.4,1116.365
2021,,1135.687
2022,,1192.978
2023,,1239.33
2024,0.51,1289.714
2025,,1286.886
