,pce,personal_saving,undistributed_corp_profits,hh_net_lending_financial,hh_loan_incurrence,personal_saving_over_pce,hh_loan_incurrence_over_pce,hh_net_lending_over_pce,undistributed_corp_profits_over_pce
1960,331.18,37.85,17.705,27118.0,17545.0,0.11428830243372184,0.05297723292469352,0.08188296394709825,0.05346035388610423
1961,341.475,44.386,17.113,28019.0,18040.0,0.12998316128559922,0.052829636137345336,0.08205285892085804,0.05011494252873563
1962,362.557,46.702,20.082,28464.0,21851.0,0.12881284873826734,0.06026914388634062,0.07850903444148091,0.05538991110363336
1963,382.035,47.099,21.809,30275.0,28459.0,0.12328451581661365,0.0744931747091235,0.0792466658813983,0.05708639260800712
1964,410.632,55.282,25.097,41884.0,28919.0,0.13462662432543007,0.07042558787430107,0.10199887003448344,0.06111798398566113
1965,442.973,58.75,31.84,45802.0,28733.0,0.1326265934944116,0.06486399848297751,0.10339682102520921,0.07187796998914155
1966,479.919,61.861,35.833,55345.0,22190.0,0.12889883501174157,0.04623696915521161,0.11532154384385698,0.07466468299858935
1967,506.685,72.994,33.195,58072.0,34050.0,0.14406189249731094,0.06720151573462801,0.11461164234188895,0.06551407679327392
1968,556.852,72.927,34.743,64548.0,24146.0,0.1309629847787204,0.04336161134376819,0.11591589865888963,0.06239180248971002
1969,603.639,76.057,32.436,60588.0,28000.0,0.12599749187842402,0.04638533958210122,0.10037124837858388,0.05373410266732269
1970,646.724,97.588,27.199,99800.0,17856.0,0.15089589995113833,0.02760992324391858,0.154316215263389,0.04205658055059036
1971,699.937,111.926,36.079,99004.0,44237.0,0.15990867749526028,0.06320140241193137,0.14144701594572084,0.051546067717523146
1972,768.153,111.526,46.708,104789.0,60123.0,0.14518722181648708,0.07826956348539939,0.13641683362559281,0.06080559471876045
1973,849.575,135.813,66.251,118152.0,63912.0,0.15985992996498247,0.07522820233646234,0.13907188888561928,0.07798134361298296
1974,930.161,146.28,75.523,93705.0,54077.0,0.1572630974637724,0.05813724720774146,0.10074062447253755,0.08119347080774189
1975,1030.547,164.029,70.167,178669.0,57516.0,0.15916692785481884,0.05581113719219016,0.1733729757109574,0.0680871420711525
1976,1147.666,154.386,91.912,151684.0,86032.0,0.13452171624845558,0.07496257621991068,0.13216737273736437,0.08008601805751848
1977,1273.975,155.947,109.283,103267.0,127217.0,0.12240978041170354,0.099858317470908,0.08105889048058243,0.08578111815380993
1978,1422.252,175.066,134.759,108683.0,161205.0,0.12309070403838421,0.113344892466314,0.07641613441218575,0.09475043803770358
1979,1585.42,186.825,153.622,122341.0,164648.0,0.11783943686846386,0.10385134538481916,0.07716630293549974,0.09689672137351617
1980,1750.667,224.894,130.841,238562.0,110609.0,0.1284618948092356,0.06318106184671328,0.13626920482307603,0.07473779993568166
1981,1933.951,263.555,120.827,337701.0,97215.0,0.13627801324852595,0.050267561070575215,0.17461714386765748,0.062476763889054064
1982,2071.256,291.199,90.449,371548.0,77296.0,0.14059054023259318,0.0373184193552125,0.17938294445495875,0.04366867253492567
1983,2281.605,264.677,99.213,314516.0,170285.0,0.11600474227572258,0.07463386519577227,0.13784857589284738,0.04348386333304844
1984,2492.34,326.307,114.122,329108.0,211852.0,0.13092395098582055,0.08500124381103702,0.1320477944421708,0.045789097795645856
1985,2712.83,282.942,94.883,229829.0,301187.0,0.10429772599093935,0.11102317506072995,0.08471927839193757,0.03497565273164924
1986,2886.278,288.712,52.439,356424.0,267559.0,0.10002917251907127,0.09270035665310135,0.12348914415035558,0.018168381562690773
1987,3076.279,260.59,103.05,268235.0,252451.0,0.08470948181228034,0.08206375299509569,0.08719462701529998,0.03349826202369811
1988,3330.012,317.112,120.367,341703.0,273645.0,0.09522848566311473,0.0821753795481818,0.10261314373641896,0.03614611598997241
1989,3576.758,335.417,90.094,212595.0,288264.0,0.09377682247443075,0.08059365492437566,0.059437904381565654,0.025188732366014138
1990,3808.994,360.635,90.273,449059.0,228063.0,0.09467985510084814,0.059874864596793795,0.11789438366140771,0.02369995857173836
1991,3943.449,400.964,105.527,395891.0,201585.0,0.10167850528813736,0.051118957034819015,0.1003920679587843,0.02676007728260211
