,wages,supplements,proprietors,rental,interest,dividends,social_benefits,employee_comp,primary_legal_total,resources_before_tax_adjustment
1960,272.8666666666667,28.428,50.587,16.463,31.143,13.366,24.428,301.29466666666667,412.85366666666664,437.28166666666664
1961,280.5083333333333,29.903,53.199,17.2,33.41,13.901,28.089,310.41133333333335,428.1213333333333,456.2103333333333
1962,299.35833333333335,32.844,55.234,18.046,37.054,15.027,28.843,332.20233333333334,457.56333333333333,486.40633333333335
1963,314.85833333333335,35.557,56.398,18.728,40.464,16.236,30.341,350.41533333333336,482.2413333333334,512.5823333333334
1964,337.78333333333336,38.187,59.132,18.831,44.944,18.194,31.317,375.9703333333334,517.0713333333334,548.3883333333334
1965,363.75,41.658,63.662,19.336,49.278,20.205,33.913,405.408,557.889,591.802
1966,400.3333333333333,48.928,67.933,19.91,54.296,20.67,37.504,449.2613333333333,612.0703333333333,649.5743333333334
1967,429.0083333333334,52.781,69.475,20.345,59.456,21.51,45.752,481.7893333333334,652.5753333333334,698.3273333333334
1968,471.97499999999997,58.779,73.832,20.096,65.302,23.535,53.306,530.754,713.519,766.825
1969,518.3416666666667,66.125,77.005,20.348,76.109,24.239,58.973,584.4666666666667,782.1676666666667,841.1406666666667
1970,551.5666666666667,71.787,77.803,20.664,90.621,24.307,71.737,623.3536666666668,836.7486666666667,908.4856666666667
1971,584.5500000000001,80.446,83.904,21.828,100.099,25.027,85.412,664.9960000000001,895.8540000000002,981.2660000000002
1972,638.7666666666667,92.548,95.094,22.719,109.758,26.836,94.808,731.3146666666667,985.7216666666668,1080.5296666666668
1973,708.7583333333333,103.921,112.521,23.117,125.508,29.88,108.628,812.6793333333334,1103.7053333333333,1212.3333333333333
1974,772.275,115.433,112.213,23.181,147.41,33.187,128.556,887.708,1203.6989999999998,1332.2549999999999
1975,814.8249999999999,132.392,118.238,22.292,168.038,32.922,163.134,947.2169999999999,1288.7069999999999,1451.841
1976,899.7583333333333,148.602,130.974,20.308,181.044,38.971,177.643,1048.3603333333333,1419.6573333333333,1597.3003333333334
1977,994.1583333333333,171.667,144.492,15.867,206.851,44.723,189.482,1165.8253333333332,1577.7583333333332,1767.2403333333332
1978,1120.575,196.195,165.974,16.545,235.079,50.728,203.427,1316.77,1785.096,1988.523
1979,1253.3166666666666,223.917,179.438,16.093,269.481,57.657,227.334,1477.2336666666665,1999.9026666666666,2227.2366666666667
1980,1373.425,248.826,171.569,18.978,333.527,64.196,271.498,1622.251,2210.5209999999997,2482.019
1981,1511.375,281.152,179.68,23.78,414.198,69.733,307.809,1792.527,2479.918,2787.7270000000003
1982,1587.5166666666667,305.465,171.191,23.833,481.759,73.124,343.079,1892.9816666666666,2642.8886666666663,2985.9676666666664
1983,1677.5166666666667,334.976,186.25,24.435,518.213,81.986,370.499,2012.4926666666665,2823.376666666666,3193.875666666666
1984,1844.925,370.957,228.247,24.652,590.927,85.81,380.909,2215.882,3145.518,3526.427
1985,1982.5416666666667,404.774,241.051,26.204,630.517,93.794,403.112,2387.315666666667,3378.881666666667,3781.993666666667
1986,2102.3166666666666,439.729,256.479,18.268,663.145,103.121,428.607,2542.0456666666664,3583.0586666666663,4011.6656666666663
1987,2256.275,466.139,286.468,16.594,674.343,101.967,447.913,2722.414,3801.786,4249.6990000000005
