"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",3162.954,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",1909.982,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",3205.02,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",3471.884,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3132.827,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",3318.703,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",3453.214,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",1952.975,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",3530.735,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",3536.333,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",3527.573,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",3902.163,"U",,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",2850.927,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",1754.259,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",2867.155,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",3268.979,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",2820.681,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_X","2025",2353.793,"U",,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",3162.954,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",1909.982,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",3701.106,,"C5:1023_C5:2959","T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",2866.821,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",2945.65,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",3369.622,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",3318.703,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",3453.214,,,"T30:171","R1:3513_T2:85"
