"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4445.62,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",3720.896,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",4456.076,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",5266.467,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",4300.603,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",2234.875,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",5070.155,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",4005.949,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",5091.866,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",5467.844,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",4913.518,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",4156.922,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",3829.572,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",3061.737,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",3836.176,,,"T30:175","R1:3513_T2:85"
