"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",3534.346,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",2284.231,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",3562.844,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",3951.743,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3410.346,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",3958.44,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",2485.095,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",4004.32,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",4070.316,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",3960.465,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",3032.567,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",1729.026,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",3049.639,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",3572.306,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",2960.981,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",3534.346,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",2284.231,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",4108.384,,"C5:1023_C5:2959","T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",3375.663,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",3448.919,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",3362.039,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",3958.44,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",2485.095,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",4291.089,,"C5:1023_C5:2959","T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",3411.418,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",3865.331,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",4163.718,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",3032.567,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",1729.026,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MAN","2025",3624.613,,"C5:1023_C5:2959","T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_CON","2025",3072.634,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MKT","2025",2938.331,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_PUB","2025",2979.799,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",3534.346,,,"T30:184","R1:3513_T2:85"
