"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",5665.609,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",4109.522,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",5672.676,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",6344.452,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",5633.953,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",5593.384,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",6595.531,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",5822.993,"U",,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",6597.854,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",6727.082,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",6529.902,,,"T30:196","R1:3513_T2:85"
"NLD","BB:3060","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",6625.858,,,"T30:196","R1:3513_T2:85"
