"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4232.515,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",3024.505,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",4238.315,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",4513.082,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",4179.086,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",4229.335,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",4603.474,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",3084.806,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",4611.643,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",4634.224,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",4586.492,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",4628.096,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",3848.633,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",2944.725,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",3852.432,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",4113.414,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",3860.652,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_X","2025",3802.81,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",4232.515,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",3024.505,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",4610.15,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",4305.467,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",4590.565,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",3768.537,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",4229.335,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",4603.474,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",3084.806,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",4802.313,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",4334.123,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",4851.792,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",4028.291,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_X","2025",4628.096,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",3848.633,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",2944.725,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MAN","2025",4111.42,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_CON","2025",4122.191,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MKT","2025",4206.11,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_PUB","2025",3666.339,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_X","2025",3802.81,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",4232.515,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",3024.505,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",4610.15,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",4305.467,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",4219.858,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",4104.371,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",3149.069,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",5804.066,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",6173.34,,"C5:1013","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",4611.3,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",4417.406,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",3654.036,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",3570.828,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",3463.15,,"C5:3267_C5:2029","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",4229.335,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_TOTAL","2025",4603.474,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_A","2025",3084.806,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_C","2025",4802.313,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_F","2025",4334.123,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_G","2025",4493.033,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_H","2025",4063.878,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_I","2025",3238.68,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_J","2025",6161.77,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_K","2025",6839.405,,"C5:1013","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_L","2025",4909.198,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_O","2025",4708.361,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_P","2025",3934.24,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_Q","2025",3757.26,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_S","2025",3449.859,,"C5:3267_C5:2029","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_ISIC4_X","2025",4628.096,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_ISIC4_TOTAL","2025",3848.633,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_ISIC4_A","2025",2944.725,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_ISIC4_C","2025",4111.42,,"C5:1023_C5:2959","T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_ISIC4_F","2025",4122.191,,,"T30:395","R1:3513_T2:85"
