"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",6272.925,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",4358.407,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",6293.803,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",6853.693,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",6164.146,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",7206.185,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",4611.768,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",7244.185,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",7082.023,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",7309.162,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",5269.87,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",3785.966,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",5280.13,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",6019.044,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",5212.837,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",6272.925,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",4358.407,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",7055.46,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",6239.586,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",8031.55,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",6364.243,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",5894.904,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",7206.185,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",4611.768,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",7457.999,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",6324.411,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MEL","2025",8318.702,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",7293.411,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",7348.163,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",5269.87,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",3785.966,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
