"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",4412.67,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",5577.611,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",3531.149,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",2354.425,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",4628.505,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",4412.67,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",8800.16,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",6012.28,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",4532.114,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",3803.978,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",2769.428,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",3149.852,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",3933.744,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",3678.863,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",2354.425,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",4677.989,,,"T30:176","R1:3513_T2:85"
"DEU","BB:5863","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2022",4591.995,,,"T30:176","R1:3513_T2:85"
