"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",3162.954,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",4193.624,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",2621.163,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",1979.83,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",3488.261,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",3162.954,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",6644.231,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",4423.01,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",3381.396,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",3008.524,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",2197.042,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",2003.711,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2752.742,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",2837.148,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",1979.83,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",3631.64,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",2754.347,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",3039.886,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",4074.892,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",2542.177,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",1879.804,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",3442.929,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",3039.886,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",6285.514,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",4314.196,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",3291.492,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2882.58,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",2158.35,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",1962.398,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",2656.741,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",2710.957,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",1879.804,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",3536.6,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",2588.158,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",2944.256,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",3954.308,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",2417.423,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",1773.697,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",3319.42,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",2944.256,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",6097.069,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",4190.125,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",3200.27,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2788.142,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",2014.309,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",1879.644,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2525.62,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",2538.973,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",1773.697,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",3435.592,,,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2023",1575.367,"U",,"T30:171","R1:3513_T2:85"
"ESP","BB:3071","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",2708.726,,,"T30:171","R1:3513_T2:85"
