"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",4445.62,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",5649.56,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",3386.007,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2426.933,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",4487.827,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",4445.62,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",8201.2,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",6104.522,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4225.127,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",3579.178,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",2933.529,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",3066.808,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3821.356,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",3471.955,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2426.933,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",4643.974,,,"T30:175","R1:3513_T2:85"
"FRA","BB:3067","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",4409.359,,,"T30:175","R1:3513_T2:85"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",2196.954,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",2739.112,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",1774.616,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",1303.92,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",2253.244,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",2196.954,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",3692.75,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",2913.402,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",2167.007,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",1807.493,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",1585.524,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",1483.197,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",1991.229,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1921.785,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",1303.92,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",2712.276,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",2002.504,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",2114.854,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",2632.559,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",1699.229,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",1263.634,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",2343.934,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",2114.854,,,"T30:175","R1:3513"
"FRA","BA:148","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",3485.266,,,"T30:175","R1:3513"
