"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",3534.346,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",4494.922,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",3026.987,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2182.814,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",4909.427,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",3534.346,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",10415.147,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",4456.962,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4133.955,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",3452.792,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",2526.794,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",2121.242,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3049.776,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",3283.808,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2182.814,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",4909.427,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",3329.878,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",4190.035,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",2913.862,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",2131.244,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",4896.289,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",3329.878,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",9989.477,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",4125.948,,,"T30:184","R1:3513_T2:85"
"ITA","BB:3069","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",3908.384,,,"T30:184","R1:3513_T2:85"
