"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",4232.515,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",4964.127,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",3324.143,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2525.054,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",4760.747,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",4232.515,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",7125.72,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",4773.419,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4523.514,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",3373.122,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",3051.868,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",2847.36,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3711.105,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",3619.338,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2525.054,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",4962.066,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",4752.62,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",3987.2,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",4677.147,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",3158.529,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",2371.116,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",4399.14,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",3987.2,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",6633.412,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",4534.08,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",4269.202,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",3321.125,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",2875.669,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",2740.058,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",3437.954,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",3469.762,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",2371.116,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",4917.332,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",4372.473,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",4156.317,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",4931.361,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",3262.919,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",2461.254,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",4506.071,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",4156.317,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",7046.758,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",4780.516,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",4495.772,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",3251.853,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",2984.973,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",2909.785,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",3579.624,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",3671.097,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",2461.254,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",5349.865,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2023",4468.395,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",4210.861,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",4959.941,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",3361.62,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",2254.327,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",4912.581,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",4210.861,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",7464.607,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",4775.645,,,"T30:395","R1:3513_T2:85"
"SWE","BB:3063","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",4531.696,,,"T30:395","R1:3513_T2:85"
