"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",6272.925,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",8234.402,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",4386.711,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",3623.476,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",6272.925,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",10342.447,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",8638.146,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",6509.175,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",4486.98,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",3698.803,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",3565.182,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",5381.995,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",4735.723,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",3623.476,"B",,"T30:105_I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",5985.292,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",7863.528,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",4186.841,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",3438.547,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",5985.292,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",9953.398,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",8170.618,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",6239.184,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",4199.542,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",3575.354,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",3657.919,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",5081.055,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",4499.14,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",3438.547,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",5334.394,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",6872.518,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",3903.744,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",3286.547,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",5334.394,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",8403.131,,,"T30:105","R1:3513_T2:85"
"USA","BA:453","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",7236.105,,,"T30:105","R1:3513_T2:85"
