"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",737574.597,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",159883.03,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",577691.568,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",234492.102,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",343199.466,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",400751.505,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",96955.548,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",303795.995,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",150965.508,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",152830.487,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",336823.068,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",62927.484,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",273895.572,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",83526.61,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",190368.962,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",737574.585,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",159883.03,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",154959.456,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",67128.392,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",12404.256,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",210711.846,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",132487.605,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",400751.498,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",96955.548,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",80034.465,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",61526.265,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MEL","2025",9404.769,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",105623.704,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",47206.778,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",336823.071,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",62927.484,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MAN","2025",74924.987,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_CON","2025",5602.131,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MEL","2025",2999.487,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MKT","2025",105088.141,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_PUB","2025",85280.821,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",737574.612,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",159883.03,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",4096.868,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",154959.456,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_DE","2025",8307.389,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",67128.392,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",103242.709,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_HJ","2025",41898.142,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",27908.353,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",10313.763,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_LMN","2025",27348.889,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",46181.445,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",31299.985,
"CHN","XA:2070","EMP_2EMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",16962.928,
