"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",737574.583,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",14997.172,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",81806.455,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",15540.773,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",33592.772,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",72649.974,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",93629.464,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",50017.853,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",375340.137,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",738286.813,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",14816.23,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",80378.032,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",15227.523,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",33361.566,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",71918.66,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",94210.278,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",49874.729,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",378499.797,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",744649.326,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",14821.281,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",79529.935,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",15068.54,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",33369.984,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",71733.755,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",95288.832,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",49975.82,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",384861.192,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",738500.543,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",14510.681,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",77342.123,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",14598.428,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",32801.82,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",70357.147,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",94794.017,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",49215.462,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2022",384880.839,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",753075.795,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",14685.366,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",77261.327,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",14622.422,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",33145.731,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",70980.045,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",97220.188,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",50058.85,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2021",395101.878,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",730519.705,
