"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",737574.583,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",14997.172,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",81806.455,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",15540.773,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",33592.772,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",72649.974,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",93629.464,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",50017.853,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",375340.137,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",400751.528,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",11573.852,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",32358.77,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",6074.856,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",22765.285,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",30435.421,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",62218.58,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",40984.986,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",194339.786,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",336823.056,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",3423.32,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",49447.688,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",9465.916,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",10827.485,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",42214.551,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",31410.885,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",9032.866,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",181000.351,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",738286.813,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",14816.23,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",80378.032,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",15227.523,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",33361.566,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",71918.66,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",94210.278,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",49874.729,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",378499.797,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2024",401376.582,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2024",11484.864,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2024",31970.026,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2024",5973.555,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2024",22588.847,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2024",30315.715,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2024",62401.259,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2024",40726.259,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2024",195916.049,
"CHN","XA:2070","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",336910.232,
