"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",42226.137,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",1873.897,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",10121.111,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",8522.483,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",5400.798,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",5840.328,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",4338.566,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",2569.08,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3559.874,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",42837.07,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",1889.032,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",10135.444,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",8582.067,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",5527.904,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",5898.333,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",4509.366,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",2648.005,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",3646.918,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",43069.07,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",1870.429,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",9998.366,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",8515.952,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",5640.625,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",5971.389,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",4601.765,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",2669.228,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",3801.315,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",42655.401,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",1781.744,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",9587.349,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",8508.167,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",5621.829,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",5862.052,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",4754.041,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",2673.482,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2022",3866.737,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",41978.843,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",1757.328,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",9394.83,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",8495.714,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",5562.871,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",5666.201,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",4839.789,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",2505.901,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2021",3756.21,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",41923.939,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",1788.23,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",8919.842,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",8826.535,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",5786.327,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",5685.802,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",4798.091,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",2495.413,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2020",3623.699,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2019",42829.576,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2019",1745.195,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2019",8678.297,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2019",8935.651,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2019",5895.138,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2019",6118.603,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2019",5024.388,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2019",2603.983,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2019",3828.322,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2018",42372.159,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2018",1659.926,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2018",8501.866,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2018",8613.52,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2018",6023.23,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2018",6063.431,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2018",5082.2,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2018",2613.95,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2018",3814.037,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2017",41976.999,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2017",1587.09,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2017",8429.596,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2017",8422.579,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2017",6020.821,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2017",6059.938,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2017",5078.206,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2017",2597.833,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2017",3780.937,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2016",41554.94,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2016",1551.103,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2016",8244.981,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2016",8359.243,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2016",6018.134,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2016",6056.87,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2016",5079.458,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2016",2484.442,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2016",3760.708,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2015",40919.096,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2015",1502.084,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2015",7947.79,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2015",8238.088,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2015",5720.879,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2015",6035.7,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2015",5061.532,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2015",2537.374,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2015",3875.648,
