"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",42226.137,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",1873.897,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",10121.111,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",8522.483,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",5400.798,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",5840.328,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",4338.566,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",2569.08,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3559.874,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",22532.78,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",1333.136,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",5084.024,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",4000.424,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",1896.254,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",2278.872,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",3901.881,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",2198.539,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",1839.65,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",19693.358,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",540.761,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",5037.088,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",4522.06,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",3504.543,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",3561.456,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",436.685,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",370.541,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",1720.224,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",42837.07,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",1889.032,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",10135.444,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",8582.067,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",5527.904,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",5898.333,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",4509.366,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",2648.005,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",3646.918,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2024",22859.883,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2024",1347.25,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2024",5092.131,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2024",4024.093,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2024",1922.175,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2024",2287.304,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2024",4053.961,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2024",2256.864,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2024",1876.105,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",19977.187,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2024",541.782,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2024",5043.314,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2024",4557.974,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2024",3605.729,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2024",3611.029,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2024",455.406,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2024",391.141,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2024",1770.813,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",43069.07,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",1870.429,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",9998.366,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",8515.952,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",5640.625,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",5971.389,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",4601.765,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",2669.228,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",3801.315,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2023",22962.799,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2023",1341.654,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2023",5034.104,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2023",3949.88,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2023",1963.757,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2023",2313.777,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2023",4141.808,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2023",2262.791,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2023",1955.028,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2023",20106.272,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2023",528.775,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2023",4964.262,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2023",4566.073,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2023",3676.868,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2023",3657.612,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2023",459.957,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2023",406.437,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2023",1846.287,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",42655.401,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",1781.744,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",9587.349,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",8508.167,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",5621.829,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",5862.052,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",4754.041,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",2673.482,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2022",3866.737,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2022",22759.061,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2022",1272.124,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2022",4873.184,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2022",3951.403,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2022",1989.691,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2022",2217.412,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2022",4249.471,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2022",2253.979,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2022",1951.798,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2022",19896.339,
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2022",509.619,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2022",4714.165,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2022",4556.764,"A"
"DEU","XA:2165","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2022",3632.138,"A"
