"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",21531.25,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",863.735,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",4345.332,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",2700.376,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2149.918,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4533.111,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2288.3,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1611.093,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3039.386,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",11554.323,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",566.999,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",1890.129,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",1610.965,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",709.215,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",1842.042,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",2119.854,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",1383.033,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",1432.087,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",9976.927,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",296.736,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",2455.203,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",1089.411,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",1440.703,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",2691.069,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",168.446,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",228.06,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",1607.298,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",21381.042,
"ESP","XA:2028","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",857.772,"A"
