"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",29351.929,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",2181.596,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",7409.545,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",5351.61,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2351.279,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4284.223,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2751.407,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1829.722,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3192.548,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",29420.735,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",2183.647,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",7336.387,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",5332.087,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2387.445,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4275.413,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",2813.345,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1856.638,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",3235.77,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",29439.013,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",2109.156,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",7145.749,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",5408.567,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2407.584,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4280.613,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2837.72,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1919.025,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",3330.598,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",29240.173,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",2116.024,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",6829.9,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",5281.231,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",2577.169,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",4220.789,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",2948.767,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",1916.562,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2022",3349.731,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",28761.164,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",2014.627,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",6808.819,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",5234.333,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",2559.909,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",4007.185,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",2888.898,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",1911.732,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2021",3335.66,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",27916.448,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",1948.525,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",6476.542,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",5071.232,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",2474.347,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",3940.473,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",2851.352,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",1832.691,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2020",3321.288,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2019",28002.56,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2019",1860.023,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2019",6151.285,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2019",5130.432,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2019",2491.763,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2019",4092.841,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2019",2942.044,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2019",1871.063,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2019",3463.109,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2018",27855.376,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2018",1784.492,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2018",5966.728,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2018",5081.276,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2018",2481.714,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2018",4109.369,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2018",2875.926,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2018",1965.82,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2018",3590.05,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2017",27562.319,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2017",1737.176,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2017",5773.381,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2017",5012.861,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2017",2539.291,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2017",3973.954,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2017",2885.382,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2017",1951.835,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2017",3688.438,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2016",27296.31,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2016",1743.812,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2016",5624.908,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2016",5076.497,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2016",2495.705,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2016",3881.475,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2016",2862.199,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2016",1926.953,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2016",3684.759,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2015",27187.991,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2015",1689.524,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2015",5484.614,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2015",5038.112,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2015",2662.255,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2015",3856.978,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2015",2888.492,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2015",1881.575,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2015",3686.44,
