"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",29351.929,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",2181.596,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",7409.545,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",5351.61,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2351.279,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4284.223,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2751.407,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1829.722,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3192.548,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",15128.956,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",1329.681,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",3737.578,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",2336.447,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",681.954,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",1422.782,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",2488.29,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",1520.946,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",1611.277,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",14222.973,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",851.915,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",3671.967,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",3015.162,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",1669.324,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",2861.441,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",263.117,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",308.776,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",1581.271,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",29420.735,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",2183.647,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",7336.387,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",5332.087,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2387.445,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4275.413,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",2813.345,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1856.638,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",3235.77,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2024",15137.371,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2024",1332.609,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2024",3693.815,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2024",2320.046,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2024",683.385,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2024",1408.835,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2024",2540.638,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2024",1536.678,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2024",1621.365,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",14283.364,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2024",851.038,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2024",3642.572,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2024",3012.042,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2024",1704.06,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2024",2866.578,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2024",272.708,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2024",319.96,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2024",1614.405,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",29439.013,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",2109.156,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",7145.749,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",5408.567,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2407.584,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4280.613,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2837.72,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1919.025,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",3330.598,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2023",15122.433,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2023",1303.506,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2023",3610.205,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2023",2334.649,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2023",687.58,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2023",1423.691,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2023",2551.921,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2023",1553.786,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2023",1657.094,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2023",14316.581,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2023",805.65,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2023",3535.544,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2023",3073.918,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2023",1720.004,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2023",2856.922,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2023",285.799,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2023",365.239,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2023",1673.504,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",29240.173,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",2116.024,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",6829.9,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",5281.231,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",2577.169,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",4220.789,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",2948.767,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",1916.562,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2022",3349.731,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2022",15048.31,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2022",1286.61,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2022",3454.217,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2022",2286.694,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2022",735.459,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2022",1408.24,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2022",2659.132,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2022",1538.499,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2022",1679.458,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2022",14191.863,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2022",829.415,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2022",3375.683,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2022",2994.537,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2022",1841.71,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2022",2812.549,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2022",289.634,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2022",378.063,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2022",1670.272,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",28761.164,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",2014.627,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",6808.819,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",5234.333,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",2559.909,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",4007.185,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",2888.898,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",1911.732,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2021",3335.66,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2021",14805.125,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2021",1264.984,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2021",3429.779,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2021",2269.847,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2021",727.182,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2021",1303.524,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2021",2606.945,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2021",1549.331,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2021",1653.533,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2021",13956.038,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2021",749.643,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2021",3379.041,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2021",2964.486,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2021",1832.727,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2021",2703.661,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2021",281.953,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2021",362.401,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2021",1682.127,"A"
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",27916.448,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",1948.525,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",6476.542,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",5071.232,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",2474.347,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",3940.473,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",2851.352,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",1832.691,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2020",3321.288,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2020",14469.958,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2020",1229.066,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2020",3272.579,
"FRA","XA:2048","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2020",2222.362,
