"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",24114.478,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",960.357,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3935.519,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4331.359,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2922.1,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4251.204,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3174.565,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1509.55,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3029.821,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",24242.154,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",962.635,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3884.825,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",4322.743,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2962.412,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4254.716,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",3238.32,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1538.646,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",3077.857,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",24046.733,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",899.048,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",3767.028,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",4263.009,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",3044.389,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4202.763,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",3152.226,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1610.98,"A"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",3107.289,"A"
