"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",24114.478,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",960.357,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3935.519,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4331.359,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2922.1,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4251.204,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3174.565,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1509.55,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",3029.821,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",13952.87,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",697.319,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",1812.805,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",2615.939,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",1087.732,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",1740.275,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",2875.152,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",1249.518,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",1874.131,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",10161.607,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",263.039,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",2122.714,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",1715.42,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",1834.368,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",2510.93,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",299.414,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",260.032,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",1155.69,
"ITA","XA:1988","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",24242.154,
