"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",10088.757,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",615.202,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3291.427,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",1746.538,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",842.043,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",1697.161,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",635.725,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",395.371,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",865.291,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",10063.063,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",611.332,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3235.272,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1729.248,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",850.557,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",1689.366,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",660.579,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",404.842,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",881.866,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",10026.174,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",608.17,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",3114.534,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",1689.994,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",837.704,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",1751.894,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",696.516,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",403.454,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2023",923.909,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",9829.851,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",561.225,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",3060.837,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",1647.988,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",858.348,"A"
