"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",10088.757,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",615.202,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3291.427,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",1746.538,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",842.043,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",1697.161,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",635.725,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",395.371,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",865.291,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",5340.709,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",429.437,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",1699.651,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",853.237,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",352.936,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",573.459,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",578.437,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",347.224,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",506.328,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",4748.048,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",185.765,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",1591.775,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",893.302,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",489.107,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",1123.702,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2025",57.288,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2025",48.146,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_96","2025",358.963,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",10063.063,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",611.332,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3235.272,"A"
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1729.248,
"NLD","XA:1946","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",850.557,"A"
