"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",5235.145,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",330.546,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",1779.736,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",968.045,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",301.8,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",852.025,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",420.117,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",273.394,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",309.482,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",5221.347,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",330.505,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",1752.739,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",959.799,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",306.754,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",849.341,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",431.636,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",278.357,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",312.215,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",5237.889,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",333.272,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",1752.506,"A"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",961.206,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",318.081,"A"
