"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",5235.145,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",330.546,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",1779.736,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",968.045,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",301.8,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",852.025,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",420.117,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",273.394,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",309.482,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",2747.462,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",183.795,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",795.971,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",541.33,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",123.934,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",303.675,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",385.089,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",235.271,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",178.396,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",2487.683,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",146.751,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2025",983.765,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2025",426.715,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2025",177.866,
"SWE","XA:2140","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2025",548.35,
