"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",170186.461,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",19916.892,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",39883.024,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",29723.004,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",14058.295,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",24913.815,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",13836.142,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",9500.546,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",18354.744,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",169828.934,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",19847.456,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",39454.584,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",29516.627,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",14121.515,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",24752.658,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",13995.29,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",9646.592,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2024",18494.208,"A"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",169320.515,
