"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status"
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",170186.461,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",19916.892,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",39883.024,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",29723.004,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",14058.295,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",24913.815,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",13836.142,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",9500.546,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_96","2025",18354.744,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2025",92522.781,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2025",11657.306,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2025",18802.037,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2025",13540.612,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2025",4132.705,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2025",11139.922,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2025",11922.465,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2025",7830.835,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_M","OCU_ISCO08_96","2025",13496.896,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2025",77663.681,
"USA","XA:2174","EMP_2EMP_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2025",8259.586,
