"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_TOTAL","2024",29021.954,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_PUB","2024",5852.336,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_PRI","2024",23169.618,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_TOTAL","2024",681.483,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_PUB","2024",11.639,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_PRI","2024",669.845,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_TOTAL","2024",28340.471,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_PUB","2024",5840.697,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_PRI","2024",22499.773,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_TOTAL","2024",5565.204,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_PUB","2024",133.312,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_PRI","2024",5431.892,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_TOTAL","2024",22238.186,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_PUB","2024",5603.716,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_PRI","2024",16634.47,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_X","INS_SECTOR_TOTAL","2024",537.081,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_X","INS_SECTOR_PUB","2024",103.67,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_X","INS_SECTOR_PRI","2024",433.412,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_TOTAL","2024",14853.007,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_PUB","2024",2111.822,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_PRI","2024",12741.186,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_TOTAL","2024",480.377,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_PUB","2024",5.592,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_PRI","2024",474.785,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_NAG","INS_SECTOR_TOTAL","2024",14372.63,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_NAG","INS_SECTOR_PUB","2024",2106.23,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_NAG","INS_SECTOR_PRI","2024",12266.401,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_IND","INS_SECTOR_TOTAL","2024",4197.325,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_IND","INS_SECTOR_PUB","2024",75.463,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_IND","INS_SECTOR_PRI","2024",4121.862,,,,"R1:3513"
