"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_PUB","2025",21940.614,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_TOTAL","INS_SECTOR_PRI","2025",141552.247,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_TOTAL","2025",2488.606,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_PUB","2025",48.874,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_AGR","INS_SECTOR_PRI","2025",2439.732,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_TOTAL","2025",161004.255,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_PUB","2025",21891.74,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_NAG","INS_SECTOR_PRI","2025",139112.515,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_TOTAL","2025",31058.054,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_PUB","2025",850.746,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_IND","INS_SECTOR_PRI","2025",30207.308,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_TOTAL","2025",129946.201,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_PUB","2025",21040.994,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_SECTOR_SER","INS_SECTOR_PRI","2025",108905.207,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_TOTAL","2025",86562.25,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_PUB","2025",9416.02,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_TOTAL","INS_SECTOR_PRI","2025",77146.229,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_TOTAL","2025",1757.106,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_PUB","2025",36.978,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_M","ECO_SECTOR_AGR","INS_SECTOR_PRI","2025",1720.129,"B",,"I11:264","R1:3513_R1:2803_T2:85"
