"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4500.156,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",128.02,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",4372.136,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",1084.137,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3287.999,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",4500.156,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",128.02,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",667.17,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",353.236,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",63.731,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1911.603,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1376.396,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",4500.156,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",128.02,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",6.806,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",667.17,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",35.574,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",21.351,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",353.236,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",609.932,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",217.239,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",256.663,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",171.279,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",141.863,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",48.48,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",300.174,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",165.974,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",334.823,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",324.396,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",513.005,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",79.506,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",112.068,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",5.425,,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",7.173,,,,"R1:3513"
