"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",5146.639,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",44.457,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",5102.182,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",976.89,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",4125.292,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",5146.639,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",44.457,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",583.466,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",322.383,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",71.04,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",2109.883,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",2015.409,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",5146.639,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",44.457,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",2.688,"U",,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",583.466,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",30.539,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",37.814,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",322.383,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",578.511,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",282.741,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",209.238,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",219.843,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",156.286,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",31.873,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",341.896,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",289.494,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",452.702,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",502.473,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",772.861,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",87.89,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",119.144,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",5.633,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",74.707,,,,"R1:2384"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",5064.581,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",46.979,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",5017.602,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",995.525,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",4022.077,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",5064.581,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",46.979,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",570.838,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",352.681,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",72.006,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",2114.578,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",1907.498,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",5064.581,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",46.979,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",3.145,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",570.838,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",27.511,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",41.35,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",352.681,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",615.483,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",281.613,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",192.361,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",200.621,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",139.638,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",31.755,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",328.973,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",324.133,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",409.667,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",475.43,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",762.262,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",75.507,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",117.844,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",6.27,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",60.518,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",5028.445,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",54.583,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",4973.862,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",1013.152,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",3960.71,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",5028.445,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",54.583,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",587.782,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",357.055,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",68.315,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",2064.119,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",1896.591,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2023",5028.445,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2023",54.583,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2023",3.631,"U",,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2023",587.782,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2023",28.785,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2023",35.898,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2023",357.055,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2023",598.001,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2023",281.435,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2023",191.753,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2023",183.454,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2023",146.32,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2023",34.725,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2023",313.063,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2023",315.367,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2023",425.455,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2023",476.289,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2023",749.281,,,,"R1:3513"
"BEL","BA:2257","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2023",81.814,,,,"R1:3513"
