"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",21028.647,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",228.502,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",20800.145,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",3982.055,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",16818.09,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",21028.647,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",228.502,,"C5:1577_C5:1920",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",1847.058,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1633.585,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",501.412,,"C5:2030",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",9040.998,,"C5:2926",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",7777.092,,"C5:2925",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",20730.541,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",231.715,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",20498.825,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",3963.765,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",16535.06,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",20730.541,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",231.715,,"C5:1577_C5:1920",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",1848.776,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",1607.622,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",507.367,,"C5:2030",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",8935.887,,"C5:2926",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",7599.173,,"C5:2925",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",20334.78,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",258.05,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",20076.73,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",3934.919,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",16141.811,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",20334.78,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",258.05,,"C5:1577_C5:1920",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",1843.257,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",1601.232,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",490.43,,"C5:2030",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",8765.512,,"C5:2926",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",7376.299,,"C5:2925",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2022",19739.534,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2022",261.762,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2022",19477.772,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2022",3829.38,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2022",15648.393,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2022",19739.534,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2022",261.762,,"C5:1577_C5:1920",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2022",1797.852,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2022",1552.662,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2022",478.866,,"C5:2030",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2022",8559.554,,"C5:2926",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2022",7088.839,,"C5:2925",,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2021",18964.125,,,,"R1:3513"
"CAN","BA:147","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2021",261.861,,,,"R1:3513"
